순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
1	015750	성우하이텍	직접추가	메인	6090.0	200.0	2110.0	393080902555.0	91530269981.0	2365979543.0	1905976554324.0						판정불가	일반	일반	6028.0649124125	-17796.6420166375	0.029353122079383776	11.320683420207345	N	Y	20.84765177548682	63.02385728102815		50.19530355097364	134.54771456205629		105912.09049255439	283895.6777259388		1639.1147864130442	4561.669584990785		3년	134.54771456205629	283895.6777259388	4561.669584990785	3.284072249589491	822.1177958451403	2258.9736570880527		791.4473300375	12.995851067939245	3년	2258.9736570880527	안심(>=2)	3년	63.02385728102815	0.0004657462006569351	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	80000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
2	039200	오스코텍	직접추가	메인	35950.0		1368.0	15192017092.0		7091325790.0	6000000000.0						판정불가	일반	일반	211.7375198964007	54.90829730094817	26.124460877268714	26.239102121856032	N	N	5847.826086956522			11704.152173913044			16011280.173913045			44437.63608877064			1년	11704.152173913044	16011280.173913045	44437.63608877064		223.84485231788278					1년	223.84485231788278	안심(>=2)	1년	5847.826086956522	0.004467379926967884	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	38258176.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
3	171090	선익시스템	직접추가	메인	68600.0	1000.0	10959.0	149747229475.0	1000000000.0	41619580773.0	37350000000.0						판정불가	일반	일반	11413.23046060536	7506.941240834078	5.218247060807979	5.5746928332116	N	N	-441.2955465587045		108.97178221983204			226.44356443966407			2481595.0226942785			3517.4854558225634	5년	226.44356443966407	2481595.0226942785	3517.4854558225634	1.4577259475218658	-84.288423964173		21.1621847107897	7500.184985855782	10.933214265095891	5년	21.1621847107897	안심(>=2)	5년	108.97178221983204	0.047886222969915765	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	9561504.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
4	041510	에스엠	직접추가	메인	79900.0	1620.0	15166.0	364611980599.0	229637014667.0	71674775222.0	5166699000.0						판정불가	일반	일반	22825.127575171362	22599.45520310605	3.7633438233435736	3.7782239744754027	N	N	1807.6729559748428	64.77467023251435		3623.8459119496856	138.0493404650287		54959247.100628935	2093656.2974926254		68685.04017600618	2520.3458041209333		3년	138.0493404650287	2093656.2974926254	2520.3458041209333	2.0275344180225283	480.87567209977163	17.75075777986873				3년	17.75075777986873	안심(>=2)	3년	64.77467023251435	0.058099003975392256	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	22894690.0	단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
5	018290	브이티	직접추가	메인	12350.0		1728.0	84220398087.0	525529750.0	0.0	35176445000.0						판정불가	일반	일반	2425.342588933072	1418.6283743001727	5.7434360017748425	6.3260252463540665	N	N	-37.41398044186889	71.59549321993607	119.38804809293298		151.69098643987215	247.27609618586595		262122.02456809906	427293.0942091764		2022.4455430615308	3359.8631110054766	3년	151.69098643987215	262122.02456809906	2022.4455430615308		-6.514215607226611	12.465620440066115	20.786868358250977	1286.287521709648	10.415283576596341	3년	12.465620440066115	안심(>=2)	3년	71.59549321993607	0.08022063601309974	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	34941838.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
6	067160	SOOP	직접추가	메인	38250.0	3380.0	9556.0	134011835737.0	116354281889.0	5107094014.0	341000000.0						판정불가	일반	일반	21336.580690326304	21306.915017242194	1.7699266753530447	1.7730310781454381	N	N	0.7060807250500512	20.62187794636918	22.171262636843704	9.912161450100102	49.74375589273836	52.84252527368741	94720.61481715657	475351.3313110078	504963.17151535687	147.6355942932198	1142.74857859087	1220.1651542885147	3년	49.74375589273836	475351.3313110078	1142.74857859087	8.836601307189543	5.391569133979027	16.643898113848522	17.519292960454507	8736.18659282089	22.83970351064285	3년	16.643898113848522	안심(>=2)	3년	20.62187794636918	0.08582761860758027	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11494767.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
7	033500	동성화인텍	직접추가	메인	17120.0	400.0	1869.0	80845872158.0	216438728.0		7174500000.0						판정불가	일반	일반	2703.023628408002	2463.7898487383613	7.713738026533974	7.84173897873817	N	N	37.933579335793354	85.03864028854527	18.260466581831338	84.36715867158671	178.57728057709053	45.020933163662676	157682.21955719555	333760.93739858223	84144.12408288554	821.0410020864225	1849.5381857393822	391.4960518860137	3년	178.57728057709053	333760.93739858223	1849.5381857393822	2.336448598130841	5.2205594480136615	11.32720460380173	2.670160058471291	2286.215405268258	13.354061946660387	3년	11.32720460380173	안심(>=2)	3년	85.03864028854527	0.09070862375457121	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	29989494.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
8	095660	네오위즈	직접추가	메인	17690.0	303.0	2522.0	71506938430.0									판정불가	일반	일반	3271.6081990167277	3271.6081990167277	5.7170467093510196	5.7170467093510196	N	N	2037.2881355932204	59.20438360697895	-2.0836107187727326	4083.076271186441	126.9087672139579	4.332778562454535	10297518.355932204	320063.9109136018	10927.267534510336	58110.95735405429	1709.2928824963358	-38.22912643012811	3년	126.9087672139579	320063.9109136018	1709.2928824963358	1.7128321085358962	356.65284391794256	10.655364353745147	-0.06485492057120625	3260.7172211176594	18.432545060020686	3년	10.655364353745147	안심(>=2)	3년	59.20438360697895	0.09656458459736586	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	21856816.0	1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
9	042000	카페24	직접추가	메인	16130.0		1642.0	49522683230.0	127627894802.0								판정불가	일반	일반	7304.258590773764	7304.258590773764	5.374994768103677	5.374994768103677	N	N	51.05795768169272			110.61591536338544			181631.33302667888			1026.0467019632913			1년	110.61591536338544	181631.33302667888	1026.0467019632913		9.499164163783215			2841.1426224507645	17.61402741754969	1년	9.499164163783215	안심(>=2)	1년	51.05795768169272	0.10527242005276934	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	24253054.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
10	053800	안랩	직접추가	메인	57100.0	1400.0	5714.0	67126196416.0	212621651635.0	1087944763.0	210000000.0						판정불가	일반	일반	25044.690874925156	25025.817025398628	5.609959594867841	5.613262683689425	N	N	51.84693064044645	51.8781942609736	21.726884580572147	112.1938612808929	112.2563885219472	51.953769161144294	641075.723359022	641433.0040144064	296863.8369867785	1022.7245592977619	1023.3502697275068	419.9016409575806	3년	112.2563885219472	641433.0040144064	1023.3502697275068	2.4518388791593697	9.678994759477405	9.6845676374988	4.3099639223517645	5241.269111345467	9.179105273809924	3년	9.6845676374988	안심(>=2)	3년	51.8781942609736	0.10813714075410763	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	11126506.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
