순위	종목코드	종목명	그룹	판정구분	현재가	현금배당금(FY2025 DPS)	EPS(FY2025)	현금및현금성자산	유가증권성자산	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주주대부채판정	업종보정유형	업종보정판정	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	현금보다부채많음(린치형)	현금보다부채많음(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당수익률(%)	배당감안이익성장률(1년)	배당감안이익성장률(3년)	배당감안이익성장률(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	종합판정	종합판정사유	발행주식수	비고
1	010140	삼성중공업	직접추가	메인	21300.0		639.0	772614649370.0	311797002761.0	592438711867.0	1454489650793.0						판정불가	일반	일반	559.0601593909091	-1093.7689892375	32.45843480533504	35.04502189239045	N	Y	752.0			1512.5			966487.5			4437.5			1년	1512.5	966487.5	4437.5		23.16809188459073			1530.2205002727273	7.1841338040973115	1년	23.16809188459073	안심(>=2)	1년	752.0	0.04316281224113702	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	880000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
2	139130	iM금융지주	직접추가	메인	18440.0	700.0	2511.0		10012037000000.0	9824584000000.0							판정불가	일반	일반	1167.025597818984	1167.025597818984	6.878922501864204	6.878922501864204	N	N	123.9964317573595			256.49286351471903			644053.5802854595			3392.6983746499973			1년	256.49286351471903	644053.5802854595	3392.6983746499973	3.7960954446854664	18.577404697816103					1년	18.577404697816103	안심(>=2)	1년	123.9964317573595	0.055476777874746565	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	160624583.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
3	071970	HD현대마린엔진	직접추가	메인	50200.0		4867.0	94276230277.0	247003276789.0								판정불가	일반	일반	10060.862797055377	10060.862797055377	8.247203041492629	8.247203041492629	N	N	97.52435064935065	113.65854515790357	162.5665198099373	203.5487012987013	235.81709031580715	333.6330396198746	990671.5292207792	1147721.7785670334	1623792.0038299295	1873.4492613959744	2186.298363679349	3134.6454259560346	3년	235.81709031580715	1147721.7785670334	2186.298363679349		11.825142434191859	13.781465617625072	19.71171547396692			3년	13.781465617625072	안심(>=2)	3년	113.65854515790357	0.07256122300382213	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	33921495.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
4	015760	한국전력	유틸리티	메인	34100.0	1542.0	13311.0	2240811000000.0	4250164000000.0	83995702000000.0							판정불가	일반	일반	-120730.62929345189	-120730.62929345189	11.631780429227849	11.631780429227849	Y	Y	144.73248758963044			297.9649751792609			3966211.7846111413			11531.119602965224			1년	297.9649751792609	3966211.7846111413	11531.119602965224	4.52199413489736	12.831611001656068			7699.067871674695	22.57791164713987	1년	12.831611001656068	안심(>=2)	1년	144.73248758963044	0.0803674463345659	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	641964077.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
5	004490	세방전지	직접추가	메인	62900.0	2650.0	10646.0	227178088991.0	123000000000.0	162095437595.0	251228623014.0						판정불가	일반	일반	13434.475099714286	-4510.426544142857	4.646395350393172	6.331995730240735	N	Y	-17.389617443935744	48.94307252053962	16.711840434713388		106.38614504107925	41.923680869426775		1132586.9001073297	446319.50653591746		1700.6151035092682	609.5699626962122	3년	106.38614504107925	1132586.9001073297	1700.6151035092682	4.213036565977743	-2.835871656259947	11.440289746764524	4.503464604862023	11070.1328675	17.599575306041338	3년	11.440289746764524	안심(>=2)	3년	48.94307252053962	0.0949346886312307	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	14000000.0	주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
6	009540	HD한국조선해양	직접추가	메인	346500.0	12300.0	30664.0	3742015549000.0		398797408000.0							판정불가	일반	일반	47238.53250999998	47238.53250999998	9.7593747550874	9.7593747550874	N	N	84.96802991916998			178.43605983833996			5471563.338882856			1479.094758696351			1년	178.43605983833996	5471563.338882856	1479.094758696351	3.54978354978355	9.070029145341577					1년	9.070029145341577	안심(>=2)	1년	84.96802991916998	0.114859374336106	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	70773116.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
7	402340	SK스퀘어	직접추가	메인	1131000.0		66713.0	1310718000000.0	317762000000.0	86661000000.0	0.0						판정불가	일반	일반	11672.743401201547	11672.743401201547	16.77824796664516	16.77824796664516	N	N	140.21676508713813			288.93353017427626			19275622.59851649			1604.299080328602			1년	288.93353017427626	19275622.59851649	1604.299080328602		8.357056431987798			2638.92507607574	0.23332670876001238	1년	8.357056431987798	안심(>=2)	1년	140.21676508713813	0.1196593571119564	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	132087115.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
8	069620	대웅제약	직접추가	메인	115600.0	600.0	17022.0	168941641596.0	50139032546.0	550560567693.0	70828808025.0						판정불가	일반	일반	-28608.962834228405	-34721.96931155238	8.471916510059241	8.831040377837644	Y	Y	691.7209302325581	64.61424206621207	70.08103158930474	1391.9418604651162	137.72848413242414	148.6620631786095	23693634.348837208	2344414.256902124	2530525.6394262905	20396.223485153296	1928.0400146212146	2089.036020264957	3년	137.72848413242414	2344414.256902124	1928.0400146212146	0.5190311418685121	81.7099602613513	7.688139174972243	8.333422862152306	-7954.179962240783	-6.880778514049121	3년	7.688139174972243	안심(>=2)	3년	64.61424206621207	0.13111531202947216	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	11586575.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
9	011210	현대위아	직접추가	메인	56300.0	1200.0	5351.0	1116473000000.0	572468000000.0	739686000000.0	71245000000.0						판정불가	일반	일반	34905.39080171221	32285.615748994038	3.998245037990617	4.4878311065232595	N	N	46.32212195788898	29.51602682110046	18.44874189552963	101.14424391577796	67.53205364220092	45.39748379105926	541222.8491933278	361364.01903941715	242921.9357659581	861.3194479455201	541.8543855051814	331.4776834208847	3년	67.53205364220092	361364.01903941715	541.8543855051814	2.1314387211367674	12.118707137413686	7.915339165440989	5.147303484683195	5543.207939464645	9.845840034573081	3년	7.915339165440989	안심(>=2)	3년	29.51602682110046	0.13546013703756177	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	27195083.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
10	000660	SK하이닉스	반도체	메인	1793000.0	3000.0	62044.0	14923766000000.0	20018487000000.0								판정불가	일반	일반	47997.4443489617	47997.4443489617	28.125242660870324	28.125242660870324	N	N	115.94041486843936	167.48263503477668	54.92375157287208	240.38082973687872	343.46527006955336	118.34750314574416	14914188.200194903	21309959.216195367	7342752.485174551	731.8007919796376	1088.5086010148002	309.5232841703598	3년	343.46527006955336	21309959.216195367	1088.5086010148002	0.16731734523145567	4.128239304943224	5.960835765988028	1.9587766613210356	34057.28359137954	1.8994580921014803	3년	5.960835765988028	안심(>=2)	3년	167.48263503477668	0.16792930595479524	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	728002365.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
11	112610	씨에스윈드	직접추가	메인	48350.0	1000.0	837.0	478878903508.0	28665354936.0	782993106603.0	242475043746.0						판정불가	일반	일반	-6531.6500890188545	-12281.40054778353	65.56947441937737	72.43894928050601	Y	Y	-75.62609202096681	371.20709785870895	-15.050492534791582		750.9141957174179			628515.1818154788			1199.9279872088498		3년	750.9141957174179	628515.1818154788	1199.9279872088498	2.0682523267838677	-1.121830552182142	5.692822056160646	-0.19799213464750826	10303.466412416965	21.310168381420816	3년	5.692822056160646	안심(>=2)	3년	371.20709785870895	0.17663852549590744	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	42171403.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
12	017960	한국카본	조선/LNG사이클	watchlist	22500.0	320.0	2043.0	57866929673.0	27093215744.0	98920898088.0	81871440000.0						판정불가	일반	일반	-268.94950885840325	-1846.1770478341368	11.144860258863634	11.916875696443531	Y	Y	394.6731234866828	63.08567663703022	8.209872487827186	797.8462469733656	134.67135327406044	24.91974497565437	1629999.882566586	275133.5747389055	50911.03898526188	7144.4439225181595	1122.8158877284689	126.2712843789417	3년	134.67135327406044	275133.5747389055	1122.8158877284689	1.4222222222222223	35.540629178718135	5.788129896734109	0.8642633901478392	2529.43380973873	11.241928043283245	3년	5.788129896734109	안심(>=2)	3년	63.08567663703022	0.1766622925039975	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	51908452.0	린치식 단독판정 비중 낮춤; 주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
13	071320	지역난방공사	유틸리티	메인	76100.0	6157.0	28102.0	13136000000.0	14472000000.0	3000419000000.0							판정불가	일반	일반	-256747.27759763927	-256747.27759763927	11.844255839358025	11.844255839358025	Y	Y	66.77744807121661		65.27173293436219	142.05489614243322		139.04346586872438	3992026.6913946583		3907399.4778428925	5145.7643776539535		5034.559103604327	5년	139.04346586872438	3907399.4778428925	5034.559103604327	8.090670170827858	6.321048722475284		6.193922530903925	29663.925551856057	38.980191263936995	5년	6.193922530903925	안심(>=2)	5년	65.27173293436219	0.1814607228410606	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	11578744.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
14	005850	에스엘	직접추가	메인	50800.0	2770.0	6749.0	477732627030.0	395471183250.0	5459184760.0							판정불가	일반	일반	18681.85736639187	18681.85736639187	4.758948382517133	4.758948382517133	N	N	-15.61640410102526	26.173083545484687	36.58097754545193		60.846167090969374	81.66195509090386		410650.7816969523	551136.5349085102		708.3676805058117	984.9144387962799	3년	60.846167090969374	410650.7816969523	708.3676805058117	5.452755905511811	-2.1356920434042674	6.645552107095719	8.832567633089349	6628.339203100551	13.047911817127067	3년	6.645552107095719	안심(>=2)	3년	26.173083545484687	0.1818260494315403	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	46448520.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
15	298040	효성중공업	전력설비	메인	2834000.0	7500.0	55832.0	216772513676.0		637432979185.0							판정불가	일반	일반	-45113.22859928438	-45113.22859928438	51.56743854060905	51.56743854060905	Y	Y	133.51875862645866	270.5887113046113		275.5375172529173	549.6774226092226		15383810.66326488	30689589.85911812		442.8302986331997	982.9071933351489		3년	549.6774226092226	30689589.85911812	982.9071933351489	0.2646436132674665	2.594338715008551	5.252410485825923		33728.061849754005	1.190122154190332	3년	5.252410485825923	안심(>=2)	3년	270.5887113046113	0.19057498109208906	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	9324548.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
16	114090	GKL	직접추가	메인	9430.0	414.0	761.0	213092869283.0		30375090489.0							판정불가	일반	일반	2953.9374287595624	2953.9374287595624	8.50993767574302	8.50993767574302	N	N	42.509363295880156			93.51872659176031			71167.7509363296			654.6951318804835			1년	93.51872659176031	71167.7509363296	654.6951318804835	4.390243902439024	5.511157541376974			1553.3159719230266	16.472067570763805	1년	5.511157541376974	안심(>=2)	1년	42.509363295880156	0.20018972329721463	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	61855670.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
17	000240	한국앤컴퍼니	직접추가	메인	24000.0	1100.0	3666.0	87970654737.0	34240766097.0	15178888600.0	83728229501.0						판정불가	일반	일반	1127.4267830786544	245.4757867889732	6.239108897141665	6.479684728099025	N	N	-0.9991898460707582	28.543628944993937	19.90708834889714	6.5016203078584835	65.58725788998788	48.31417669779428	23834.9400486092	240442.88742469557	177119.77177411385	-0.6877497974616564	901.8453642695649	637.9990490588077	3년	65.58725788998788	240442.88742469557	901.8453642695649	4.583333333333333	0.574464005413431	5.309566289747529	3.9253076177994455	2176.2560889928754	9.06773370413698	3년	5.309566289747529	안심(>=2)	3년	28.543628944993937	0.21858148833019697	매우 유망	Y	통과	매우 유망	배당감안점수>=2 & 린치PER배수<=0.5	94935240.0	단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
18	329180	HD현대중공업	직접추가	메인	444500.0	5661.0	15702.0	1869917695000.0		20593805000.0							판정불가	일반	일반	17619.114963644908	17619.114963644908	27.1864020530095	27.1864020530095	N	N	124.2822453935152			257.0644907870304			4036426.634337952			808.0824824157371			1년	257.0644907870304	4036426.634337952	808.0824824157371	1.2735658042744658	4.618331287567006					1년	4.618331287567006	안심(>=2)	1년	124.2822453935152	0.21874727131722735	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	104961225.0	fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
19	034230	파라다이스	직접추가	메인	10000.0	150.0	1087.0	341761126505.0	5000000000.0	796472209722.0	137240950000.0						판정불가	일반	일반	-4866.710272452332	-6351.912585875921	13.676826377601042	15.04315785269174	Y	Y	24.22857142857142	54.2810589168254		56.95714285714284	117.0621178336508		61912.414285714265	127246.52208517843		519.1241428571426	1172.4652208517841		3년	117.0621178336508	127246.52208517843	1172.4652208517841	1.5	1.8811799403045644	4.078508959372311		1428.3554813839717	14.283554813839716	3년	4.078508959372311	안심(>=2)	3년	54.2810589168254	0.25196314608670356	매우 유망	N	주당순현금<=0	제외	하드필터 미통과	92405559.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
20	138930	BNK금융지주	직접추가	메인	15590.0	735.0	2512.0		18192691866568.0	16445000245415.0							판정불가	일반	일반	5631.773694536628	5631.773694536628	3.9642620642768205	3.9642620642768205	N	N	15.547378104875808			39.594756209751615			99462.02759889606			537.9860654194745			1년	39.594756209751615	99462.02759889606	537.9860654194745	4.714560615779346	5.111150169218551					1년	5.111150169218551	안심(>=2)	1년	15.547378104875808	0.2549794594005268	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	310327033.0	fs=2025:CFS,2024:CFS,2022:NA,2020:NA
21	003090	대웅	직접추가	메인	16740.0	200.0	4280.0	255917494906.0	69412115604.0	668965344648.0	118388808025.0						판정불가	일반	일반	-5910.286064182885	-7946.487927707312	5.292122912192263	5.7678710111465685	Y	Y	202.2598870056497	20.159526008317698	12.806544500421424	413.0197740112994	48.819052016635396	34.11308900084285	1767724.6327683614	208945.5426311995	146004.0209236074	10459.88430566524	1148.181258250893	772.1865049199964	3년	48.819052016635396	208945.5426311995	1148.181258250893	1.1947431302270013	38.44480438410596	4.035104530423442	2.645684513183083	-1554.3945053642824	-9.28551078473287	3년	4.035104530423442	안심(>=2)	3년	20.159526008317698	0.2625122688900902	매우 유망	N	주당순현금<=0 / 주당FCF<=0	제외	하드필터 미통과	58141980.0	주당순현금 음수(린치식); 주당순현금 음수(보수형); 단기위험부채 존재; 주당FCF 음수; 1년 점수 과열 가능; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
22	161390	한국타이어앤테크놀로지	직접추가	메인	64200.0	2300.0	8931.0	2603079747970.0	489388296676.0								판정불가	일반	일반	24964.41026923666	24964.41026923666	4.393191101865787	4.393191101865787	N	N	-2.2545693334792616	16.43379388057411	24.1178312692236	3.990861333041477	41.36758776114822	56.7356625384472	35642.38256539343	369453.9262948148	506706.20213087194	-44.48227014736226	475.47340544363675	689.2619970885856	3년	41.36758776114822	369453.9262948148	475.47340544363675	3.582554517133956	0.30228258977641553	4.556220736495422	6.30529952921766	-5650.2614211339005	-8.801030250987383	3년	4.556220736495422	안심(>=2)	3년	16.43379388057411	0.267326652250327	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	123875069.0	주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
23	192820	코스맥스	직접추가	메인	265000.0	3300.0	10847.0	192279928597.0									판정불가	일반	일반	16941.695768248654	16941.695768248654	22.868839700539446	22.868839700539446	N	N	43.4408886537953	80.71243772559032	38.50568621710888	95.3817773075906	169.92487545118064	85.51137243421776	1034606.1384554352	1843175.1240189564	927541.8567939601	290.41741073790007	595.5377826486628	250.0157950165887	3년	169.92487545118064	1843175.1240189564	595.5377826486628	1.2452830188679245	1.9540200665103762	3.583816311525633	1.738215395118587	-9341.661092827891	-3.5251551293690153	3년	3.583816311525633	안심(>=2)	3년	80.71243772559032	0.28333724448132674	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	11349509.0	주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
24	001440	대한전선	직접추가	메인	28750.0		453.0	438856642626.0	245247440000.0	6781981976.0	210000000000.0						판정불가	일반	일반	3632.780419185475	2506.4567877893646	55.44640084065017	57.93276647287116	N	N	10.757946210268955	193.05011690585698	172.76923736437072	30.01589242053791	394.60023381171396	354.03847472874145	13597.199266503672	178753.90591670643	160379.42905211987	-52.70539385563939	521.7527162320223	457.84149235519953	3년	394.60023381171396	178753.90591670643	521.7527162320223		0.19402424769078674	3.4817429802282773	3.115968480278815	-1780.5372383992687	-6.1931730031278915	3년	3.4817429802282773	안심(>=2)	3년	193.05011690585698	0.28721246963911046	매우 유망	N	주당FCF<=0	제외	하드필터 미통과	186447300.0	단기위험부채 존재; 주당FCF 음수; fs=2025:CFS,2024:CFS,2022:CFS,2020:CFS
