티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
0700.HK	0700.HK	China / Hong Kong	434.0	-6.786942802679019	-16.37764932562621		-35.9409594095941	455.88499984741213	513.6635006713867	N	N	주의	TENCENT	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Tencent Holdings Limited, an investment holding company, provides value-added services, marketing services, fintech, and business services in Mainland China and internationally. The company's consumers business includes communications and social services, such as instant messaging and social networks; digital content, including online games, videos, live streaming, news, music, and literature; fintech services, which include mobile payment, wealth management, consumer loans, and securities tradi	3834898808832.0	1.22	29.73	15.854343468694765	6.10101407396777		712465000000.0	334573000000.0	53160000000.0	387733000000.0	1154152000000.0	41.93874428687488	21.105323583932137	4.86297778431616	13.187395079486212	6.10101407396777	2.1615087130769135	0.5551524034762596	매우 불리	불리(<1)	20.70202814793554	615.4712968381236	41.813662865927114	보류	충분
9988.HK	9988.HK	China / Hong Kong	109.80000305175781	-3.2599092054997225	-15.990814372215223		-40.68071343533447	117.2	132.32224987030028	N	N	주의	BABA-W	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	Alibaba Group Holding Limited, through its subsidiaries, provides technology infrastructure and marketing reach to help merchants, brands, retailers, and other businesses in the People's Republic of China and internationally. It operates through the Alibaba China E-Commerce Group, Alibaba International Digital Commerce Group, Cloud Intelligence Group, and All Others segments. The Alibaba China E-commerce Group segment operates Taobao and Tmall, which are digital retail platforms; Taobao Instant 	2125705248768.0	94.0	4.34	-20.380603955145304	12.486072925161418		502258000000.0	231772000000.0	28224000000.0	281722000000.0	1060886000000.0	13.602522038881027	-2.5508689096670483	-2.32319566372381	22.165318205731978	12.486072925161418	1.7752033276263626	4.804175240652489	보통	안심(>=2)	33.47214585032283	145.26911299040108	32.303377916960294	보류	충분
3690.HK	3690.HK	China / Hong Kong	77.80000305175781	-1.5189834787875833	1.2361803467785704		-26.81091174204695	85.8475004196167	86.94975006103516	N	N	중립	MEITUAN-W	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	Meituan operates as a technology driven retail company in the People's Republic of China, Hong Kong, Macao, Taiwan, and internationally. It operates through Core Local Commerce and New Initiatives segments. The company offers daily goods and services, such as food delivery, in-store, hotel and travel booking, and other services and sales; bike sharing, e-moped sharing, power banks and micro-credit; and operates Kuailv and Xiaoxiang Supermarkets. It also sells goods from B2B food distribution ser	418053423104.0		-7.41	490.7			226896042000.0	65904021000.0	14379078000.0	86619106000.0	151045913000.0	28.78616077521859	-4.843057246823339	-6.2250090705027485		490.7			판정불가	판정불가				보류	일부부족
9618.HK	9618.HK	China / Hong Kong	106.30000305175781	-5.258461726345709	-0.2814216009919601		-25.56022354339207	117.76999969482422	113.7222501373291	N	N	주의	JD-SW	HKG	HKD	Consumer Cyclical	Internet Retail	Internet Retail	JD.com, Inc. operates as a supply chain-based technology and service provider in the People's Republic of China and Europe. It operates through three segments: JD Retail, JD Logistics, and New Businesses. The company provides home appliances; mobile handsets and other digital products; computers, including desktop, laptop, and other various products, as well as printers and other office equipment; furniture and household goods; apparel; cosmetics and other personal care items; and pet products. 	288188170240.0	3.68	5.89	-52.53511932106676	23.66544269567723		288976000000.0	62473000000.0	11525000000.0	107105000000.0	225040000000.0	93.98950734042998	1.9947089521350574	1.876490023395227	2.090067183587068	23.66544269567723	0.08831726540948433	13.083523300311208	매우 유망	안심(>=2)	55.83088539135446	328.8439149550777	209.3545677463081	매우 유망	충분
9999.HK	9999.HK	China / Hong Kong	183.1999969482422	-5.7613154834799225	-3.1712474084454545		-25.649350046166507	196.72750015258788	195.9935001373291	N	N	주의	NTES	HKG	HKD	Communication Services	Electronic Gaming & Multimedia	Electronic Gaming & Multimedia	NetEase, Inc. engages in online games, music streaming, online intelligent learning services, and internet content services businesses in China and internationally. The company operates through Games and Related Value-Added Services; Youdao; NetEase Cloud Music; and Innovative Businesses and Others segments. It develops and operates mobile and PC games; and offers games licensed from other developers. The company also provides live streaming service, and other related or ancillary value-added se	586149068800.0	1.64	11.76	13.67851196370724	18.404094603117294		278053666000.0	427997000.0	6384417000.0	6729742000.0	160296119000.0	86.7241183674002	15.208846569346823	8.301772283131445	8.203731171840305	18.404094603117294	0.44575575972374937	2.4432900327011686	매우 유망	안심(>=2)	45.30818920623459	532.8243050653188	190.84296612507737	매우 유망	충분
1810.HK	1810.HK	China / Hong Kong	26.3799991607666	0.22796149938475452	-21.06522858735658		-55.62657893654455	27.62199993133545	32.14349999427795	N	N	주의	XIAOMI-W	HKG	HKD	Technology	Consumer Electronics	Consumer Electronics	Xiaomi Corporation, an investment holding company, engages in the development and sales of smartphones in Mainland China and internationally. It operates through Smartphones, IoT and Lifestyle Products, Internet Services, and smart electric vehicles segments. The company also offers internet of things (IoT) and lifestyle products comprising smart large home appliances, smart TVs, tablets, wearables and other IoT and lifestyle products; hardware repairment services for products; installation serv	666884440064.0		1.42	76.02150314018954	156.2794016865734		188478801000.0	22921433000.0	13202226000.0	41837896000.0	266218661000.0	7.772890570881197	1.0034691766370105	3.8039014729363996	13.10359759851085	156.2794016865734	0.08384724702741572	11.926450008227793	매우 유망	안심(>=2)	60.0	85.19999999999999	222.9719587205782	매우 유망	충분
9888.HK	9888.HK	China / Hong Kong	92.19999694824219	-20.994002262798716	-22.845190838291053		-42.55451903536313	100.26625003814698	119.74449977874755	N	N	주의	BIDU-W	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Baidu, Inc. provides internet content, value-added telecommunication-based, internet map, and online audio and video services in the People's Republic of China. It operates in two segments, Baidu General Business and iQIYI. The Baidu General Business segment offers products and services for mobile ecosystem, AI cloud, and intelligent driving. This segment operates Baidu App that enables users to access search, feed, content, and other services through mobile devices; and Haokan, which offers a r	243550781440.0		-2.29	-76.47727272727273	-9.574707672764294		205928000000.0	61102000000.0	28410000000.0	97077000000.0	266330000000.0	65.59443167163847	-7.441457420387362	-8.070995300102595		-9.574707672764294			판정불가	판정불가				보류	일부부족
1024.HK	1024.HK	China / Hong Kong	32.31999969482422	-29.76966672460829	-47.4043949657419		-64.81219354191884	39.41649980545044	54.0824499130249	N	N	주의	KUAISHOU-W	HKG	HKD	Communication Services	Internet Content & Information	Internet Content & Information	Kuaishou Technology, an investment holding company, provides live streaming, online marketing, and other services in the People's Republic of China. It offers Kuaishou Flagship, a short video and content based social networking platform; Kuaishou Express; Kuaishou Concept; Yitian Camera, an app to create features Japanese-and-Korean-style filters and cute stickers; Kmovie, a shooting, editing, and production tool; and AcFun, a video sharing website. The company also provides entertainment, e-com	136331067392.0	2.13	4.17	21.402021519400073			113106000000.0	11098000000.0	13916000000.0	34953000000.0	79558000000.0	27.999261097062256	3.2317396690143028	9.999194614880642	1.0361483447870414	21.402021519400073	0.048413573635921005	22.711054491175766	매우 유망	안심(>=2)	8.5	35.445	9.668936679093543	매우 유망	충분
1211.HK	1211.HK	China / Hong Kong	81.80000305175781	-5.54271998491741	-13.621958091017472		-28.182614612895986	89.88375034332276	94.67275009155273	N	N	주의	BYD COMPANY	HKG	HKD	Consumer Cyclical	Auto Manufacturers	Auto Manufacturers	BYD Company Limited, together with its subsidiaries, engages in automobiles and batteries business in the People's Republic of China, Hong Kong, Macau, Taiwan, and internationally. It operates in two segments, Mobile Handset Components, Assembly Service and Other Products; and Automobiles and Related Products and Other Products. The Mobile Handset Components, Assembly Service and Other Products segment manufactures and sells mobile handset components, such as housings and electronic components, 	725273083904.0	50.0	3.76	-18.967701027859206	25.196441286638958		184489829000.0	65703479000.0	38484710000.0	119120640000.0	246274606000.0	32.249104088613784	-26.516889015583427	-32.41673352848806	13.178430575304263	25.196441286638958	0.5230274555594665	5.706024010746273	헐값	안심(>=2)	58.892882573277916	221.43723847552496	170.705660408611	보류	충분
2318.HK	2318.HK	China / Hong Kong	55.45000076293945	-3.0594405186334273	-14.230472615312717		-24.506462808959327	56.39375019073486	61.1945001411438	N	N	주의	PING AN	HKG	HKD	Financial Services	Insurance - Life	Insurance - Life	Ping An Insurance (Group) Company of China, Ltd. provides financial products and services in the People's Republic of China. It operates through Life and Health Insurance; Property and Casualty Insurance; Banking; Asset Management; and Finance Enablement segments. The company offers life insurance products, including term, whole-life, endowment, annuity, investment-linked, universal life, and health care and medical insurance; property and casualty insurance, such as auto insurance, non-auto ins	993204109312.0	5.69	9.73	6.453829567085556	6.681286200386016		1018674000000.0	1345587000000.0	84520000000.0	1438514000000.0	1000419000000.0	-43.89521637208706	87.31390191516293	157.46420327106654	10.210197033404574	6.681286200386016	1.5281783667364335	1.211659888630066	보통	보통(1~1.5)	21.86257240077203	212.72282945951187	283.62998472975175	보류	충분
