티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
TSM	TSM	Global Semicon / PCB / Memory / OSAT	428.9100036621094	3.3094852205087344	26.563187206049154		-10.189082839340546	414.6134994506836	372.83139999389647	Y	Y	상승전환/양호	Taiwan Semiconductor Manufactur	NYQ	USD	Technology	Semiconductors	Semiconductors	Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides various wafer fabrication processes, such as processes to manufacture complementary metal- oxide-semiconductor (CMOS) logic, mixed-signal, radio frequency, embedded memory, bipolar CMOS mixed-signal, and others. T	2224530653184.0	95.0	13.47	46.54981153856048	19.574951863097922		3488279800000.0	896062000000.0	136925700000.0	1064582700000.0	5355038700000.0	499.80348759148404	191.33970352740297	44.61068799834715	-5.263064879686315	19.574951863097922	-0.26886732169227334		판정불가	판정불가	47.649903726195845	641.844203191858	49.645426245990734	보류	충분
ASML	ASML	Global Semicon / PCB / Memory / OSAT	1714.8800048828125	4.455030338756383	32.64851021913924		-13.800865801928296	1733.790997314453	1480.5318978881835	N	Y	상승전환/양호	ASML Holding N.V. - New York Re	NMS	USD	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	ASML Holding N.V. provides lithography solutions for the development, production, marketing, sales, upgrading, and servicing of advanced semiconductor equipment systems. The company offers lithography, metrology, and inspection systems. It also provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography systems solutions to manufacture various range of semiconductor nodes and technologies. In addition, the company offers met	658685427712.0	53.0	29.5	26.913730255164037	19.548786436855625		13727800000.0	2709000000.0	1681900000.0	4390900000.0	19612200000.0	28.687321010153607	28.709450663889612	1.6741375829296867	57.15907402958165	19.548786436855625	2.923919303850943	1.2692435570126503	매우 불리	보통(1~1.5)	47.59757287371125	1404.128399774482	-18.12089500277111	보류	충분
ARM	ARM	Global Semicon / PCB / Memory / OSAT	252.08999633789062	-26.489370506526132	120.39692462954447		-42.63641713931553	260.49000015258787	201.77247493743897	N	Y	상승전환/양호	Arm Holdings plc	NMS	USD	Technology	Semiconductors	Semiconductors	Arm Holdings plc researches, develops, licenses, and markets central processing unit (CPU) intellectual property (IP), graphics processing unit IP, systems IP, compute subsystems (CSS), and associated software, tools and related services. The company provides a product portfolio, including CPU IP, GPU and neural processing unit (NPU) accelerators, system IP such as interconnects, compute platform products including pre-integrated CSSs, and development tools and software. The company serves semic	269231767552.0		0.98	14.141414141414144	19.934937871784243		4451000000.0	0.0	64000000.0	457000000.0	8286000000.0	4.167608580381908	0.8885779696208563	0.35248442323345686	252.9820283239885	19.934937871784243	12.690384587656894	0.07879981832643862	매우 불리	불리(<1)	48.369875743568485	47.40247822869711	-81.19620813308242	보류	충분
NVDA	NVDA	Global Semicon / PCB / Memory / OSAT	230.36000061035156	12.315940397430802	29.546727658343187		-2.2821772959399134	213.44949951171876	196.67945014953614	Y	Y	상승전환/양호	NVIDIA Corporation	NMS	USD	Technology	Semiconductors	Semiconductors	NVIDIA Corporation operates as a data center scale AI infrastructure company in the United States, Taiwan, China, Hong Kong, Europe, and internationally. It operates through Compute & Networking, and Graphics segments. The Compute & Networking segment provides data center accelerated computing and networking platforms and artificial intelligence solutions and software, and automotive platforms and autonomous and electric vehicle solutions, including software. The Graphics segment offers GeForce 	5562502742016.0	43.0	7.9	64.74615806805708	201.79613706779188		114507000000.0	7469000000.0	999000000.0	11040000000.0	157293000000.0	4.432765975069366	4.003644345053216	1.7379945886635433	28.598384131048377	201.79613706779188	0.1417191852460534	8.559789110673016	매우 유망	안심(>=2)	60.0	474.0	105.76488919261627	매우 유망	충분
AMD	AMD	Global Semicon / PCB / Memory / OSAT	477.57000732421875	2.399331515985126	148.17857168911303		-17.789325471711493	489.3217529296875	340.99790031433105	N	Y	상승전환/양호	Advanced Micro Devices, Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Advanced Micro Devices, Inc. operates as a semiconductor company internationally. It operates in three segments: Data Center, Client and Gaming, and Embedded. The company offers artificial intelligence (AI) accelerators, microprocessors, and graphics processing units (GPUs) as standalone devices or as incorporated into accelerated processing units, chipsets, and data center and professional GPUs; and embedded processors and semi-custom system-on-chip (SoC) products, microprocessor and SoC develo	779621105664.0		3.92	164.16819012797075	48.64092188805236		15565000000.0	2348000000.0	874000000.0	3847000000.0	62999000000.0	8.096295293928298	4.1256373461910485	0.8638811656759223	119.7637020485435	48.64092188805236	2.46220049702555	0.40614076766211576	매우 불리	불리(<1)	60.0	235.2	-50.750676048983024	보류	충분
AVGO	AVGO	Global Semicon / PCB / Memory / OSAT	357.8999938964844	-7.214895470197202	8.297017065667745		-25.680588813014072	385.0904998779297	369.8336503601074	N	N	중립	Broadcom Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Broadcom Inc. designs, develops, and supplies various semiconductor devices and infrastructure software solutions internationally. The company operates in two segments: Semiconductor Solutions and Infrastructure Software. The company offers networking connectivity, such as custom silicon solutions, ethernet switching & routing, ethernet NIC controllers, physical layer devices, and fiber optic components; wireless device connectivity, including RF semiconductor devices, connectivity solutions, cu	1702714146816.0	73.0	7.84	292.2985581000848	26.2400569832006		16178000000.0	61984000000.0	3152000000.0	65136000000.0	81292000000.0	-9.628003752675784	5.657077522584728	1.5806307960488337	46.87857112871941	26.2400569832006	1.7865270322671933	2.1169599369977976	보통	안심(>=2)	60.0	470.4	31.43336351552273	보류	충분
MU	MU	Global Semicon / PCB / Memory / OSAT	1016.5900268554688	17.65951960802321	174.5314772799384		-16.230760920603004	915.7842529296875	606.4795507049561	Y	Y	상승전환/양호	Micron Technology, Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Micron Technology, Inc. designs, develops, manufactures, and sells memory and storage products in the United States, Taiwan, Japan, Mainland China, Hong Kong, Europe, and internationally. It operates through the Cloud Memory Business Unit; Core Data Center Business Unit; Mobile and Client Business Unit; and Automotive and Embedded Business Unit segments. The company provides memory products, including dynamic random access memory components and modules, CXL-based memory, LPDDR components and mod	1148129771520.0	5.0	44.22	997.5578406169666	-0.5711543545194875		10972000000.0	11533000000.0	106000000.0	15278000000.0	54165000000.0	-0.4967269364997238	1.4768993406088045	0.14527973928459356	23.000605015648315	-0.5711543545194875		0.19255344120154125	판정불가	불리(<1)	7.357691290961025	325.35710888629654	-67.99524879339059	보류	일부부족
MRVL	MRVL	Global Semicon / PCB / Memory / OSAT	223.5500030517578	-15.151629401445666	149.58133729308875		-29.35246082035896	212.06899948120116	151.7693501663208	Y	Y	상승전환/양호	Marvell Technology, Inc.	NMS	USD	Technology	Semiconductors	Semiconductors	Marvell Technology, Inc., together with its subsidiaries, provides data infrastructure semiconductor solutions and spanning the data center core to network edge in the United States, Argentina, China, India, Israel, Japan, Singapore, South Korea, Taiwan, Vietnam, and internationally. The company develops and scales system-on-a-chip architectures, integrating analog, mixed-signal, and digital signal processing functionality. It offers a portfolio of ethernet solutions, including spanning controll	200905424896.0	11.0	3.02	58.099999999999994			2638800000.0	3970800000.0	499800000.0	4790300000.0	14308400000.0	-1.5189412434903489	1.5872479855962587	0.7100192189345522	74.52614049511529	58.099999999999994	1.2827218673858054	0.9271914463963025	보통	불리(<1)	8.5	25.67	-88.51711042291657	보류	충분
AMAT	AMAT	Global Semicon / PCB / Memory / OSAT	454.7099914550781	0.37526360407194037	40.02278904021019		-37.10788499929764	511.96350021362304	407.0629495239258	N	Y	상승전환/양호	Applied Materials, Inc.	NMS	USD	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Applied Materials, Inc. provides materials engineering solutions, equipment, services, and software to the semiconductor and related industries in the United States, China, Korea, Taiwan, Japan, Southeast Asia, Europe, and internationally. The company operates through Semiconductor Systems and Applied Global Services (AGS) segments. The Semiconductor Systems segment includes semiconductor capital equipment to enable materials engineering steps, including etch, rapid thermal processing, depositio	360856682496.0	47.0	11.6	-2.4940783056987548	2.3602035200739557		9905000000.0	6455000000.0	100000000.0	7050000000.0	20415000000.0	4.347292232895967	7.179962650156876	1.579020207403162	38.82437062260191	2.3602035200739557	16.449585932905215	1.2713716340668384	매우 불리	보통(1~1.5)	13.220407040147911	153.35672166571578	-66.27372950944574	보류	충분
LRCX	LRCX	Global Semicon / PCB / Memory / OSAT	307.6499938964844	1.4409110837433126	54.34204137380083		-29.003299233901924	310.3802490234375	260.89524925231933	N	Y	상승전환/양호	Lam Research Corporation	NMS	USD	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Lam Research Corporation designs, manufactures, markets, refurbishes, and services semiconductor processing equipment used in the fabrication of integrated circuits in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. The company offers ALTUS systems to deposit conformal or selective films for tungsten or molybdenum metallization applications; SABRE electrochemical deposition products for copper interconnect transition, which support copper damascene manufacturing; Stri	384968884224.0	43.0	5.75	35.593537925022446	17.21891634146271		5616812000.0	3721914000.0	147000.0	3734563000.0	12470921000.0	1.5143180686650348	3.908870705438493	1.2705577061554303	53.24098710049032	17.21891634146271	3.0920056782137557	1.1310631079735958	매우 불리	보통(1~1.5)	42.93783268292542	246.89253792682115	-19.748889054132867	보류	충분
