티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
RELIANCE.NS	RELIANCE.NS	India Nifty 50	1279.0	-1.0827532869296164	-7.998845855097214		-19.675942926630096	1303.7449981689454	1385.5980017089844	N	N	주의	RELIANCE INDUSTRIES LTD	NSI	INR	Energy	Oil & Gas Refining & Marketing	Oil & Gas Refining & Marketing	Reliance Industries Limited engages in hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, advanced materials and composites, renewable, financial services, retail, and digital services worldwide. It operates through the Oil to Chemicals, Oil and Gas, Retail, Digital Services, and Others segments. The company is involved in refining and marketing products, including liquefied petroleum gas, propylene, naphtha, gasoline, jet/aviation turbine fuel, kerosine oi		46.0	55.16	15.976050999310809	6.58907750634663		4170970000000.0	2707510000000.0	1036700000000.0	3980000000000.0	9040300000000.0					6.58907750634663			판정불가	판정불가	21.67815501269326	1195.7670305001602	-6.507659851433911	판정불가	일부부족
TCS.NS	TCS.NS	India Nifty 50	2208.0	2.1560146091298638	-10.422325957312783		-33.59198577847224	2327.790008544922	2583.632495727539	N	N	주의	TATA CONSULTANCY SERV LT	NSI	INR	Technology	Information Technology Services	Information Technology Services	Tata Consultancy Services Limited provides information technology (IT) and IT enabled services. It offers TCS ADD, a suite of AI powered life sciences platforms; TCS BaNCS, a financial services platform; TCS BFSI Platforms, a cloud-native, subscription-based as-a-service digital ecosystem for insurers and financial firms; TCS Chroma, a cloud-based AI-led hire-to-retire modular platform; TCS Customer Intelligence & Insights, an AI-powered, real-time customer data analytics solution; TCS ERP on Cl		2.88	137.59	1.3531604638230332	5.300128040832486		763410000000.0	0.0	18300000000.0	112830000000.0	1072400000000.0					5.300128040832486			판정불가	판정불가	19.100256081664973	2628.0042342762836	19.021930900193993	판정불가	일부부족
HDFCBANK.NS	HDFCBANK.NS	India Nifty 50	687.0999755859375	-11.049263417995558	-17.608973496200107		-31.936604696786773	733.79375	834.1035000610351	N	N	주의	HDFC BANK LTD	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	HDFC Bank Limited provides banking and financial products and services to individuals and businesses in India, Bahrain, Hong Kong, Singapore, and Dubai. The company operates through Treasury, Retail Banking, Wholesale Banking, Other Banking Business, Insurance Business, and Other segments. It offers savings, salary, current, rural, public provident fund, pension, and demat accounts; fixed and recurring deposits; and safe deposit lockers, as well as offshore accounts and deposits, and overdrafts 	10590999281664.0	1.85	45.77	4.6450949453778145	12.466083352511493		10926194700000.0	5119434000000.0	1349648400000.0	6643640400000.0	8167395600000.0	376.71847520635947	69.1431321850538	10.063038079151536	6.781330574166004	12.466083352511493	0.543982450815219	2.1111024150702375	헐값	안심(>=2)	33.432166705022986	1530.1902700889023	122.70271058938746	양호	충분
ICICIBANK.NS	ICICIBANK.NS	India Nifty 50	1389.0999755859375	3.6023213752137906	7.299552122826913		-5.057754168191053	1430.5049987792968	1356.1290014648437	N	Y	상승전환/양호	ICICI BANK LTD.	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	ICICI Bank Limited, together with its subsidiaries, engages in the provision of various banking and financial services to corporate and retail customers in India and internationally. The company operates through Retail Banking, Wholesale Banking, Treasury, Other Banking, Life Insurance, General Insurance, and Others segments. The company offers asset management, securities brokerage, private equity, foreign exchange, agricultural and rural banking, equities underwriting, depositary share account	9970543230976.0	86.0	77.39	6.228801510304027	16.780797644876188		2902489464000.0	1830990495000.0	245182915000.0	2076173410000.0	3630604157000.0	149.28164949126162	88.60138991712054	6.37833067988843	16.02039444494994	16.780797644876188	0.9546861111123387	6.415622161992114	헐값	안심(>=2)	42.061595289752375	3255.1468594739363	134.33495908751132	양호	충분
INFY.NS	INFY.NS	India Nifty 50	1035.0	-7.291295470616365	-18.906216375191885		-38.750149716366046	1125.7574981689454	1299.6035006713867	N	N	주의	INFOSYS LIMITED	NSI	INR	Technology	Information Technology Services	Information Technology Services	Infosys Limited provides consulting, technology, outsourcing, and digital services worldwide. The company offers insight services, such as applied and generative AI, sustainability services, and Infosys Topaz, an AI-first set of services, solutions, and platforms; blockchain, Internet of Things, and engineering services; cybersecurity and quality engineering services; and enterprise agile DevOps, API economy and microservices, application modernization, and digital process automation. It also pr	4192059785216.0	4.62	76.5	4.9081697276757374	3.582523363792678		5163000000.0	0.0	333000000.0	967000000.0	9786000000.0	1.274720566382578	0.9216602506887785	0.08904929958345686	13.512748750766242	3.582523363792678	3.7718522333545432	0.6070210817268066	매우 불리	불리(<1)	15.665046727585356	1198.3760746602798	15.78512798650047	보류	충분
BHARTIARTL.NS	BHARTIARTL.NS	India Nifty 50	1814.699951171875	-0.4279862182784644	0.42611793978279966		-16.090997727698365	1919.3975006103515	1929.5035021972656	N	N	중립	BHARTI AIRTEL LIMITED	NSI	INR	Communication Services	Telecom Services	Telecom Services	Bharti Airtel Limited operates as a telecommunications company in India and internationally. It operates through the Mobile Services India, Mobile Services Africa, Mobile Services South Asia, Airtel Business, Passive Tower Infrastructure Services, Homes Services, Digital TV Services, and Others segments. The company provides voice and data telecom services through wireless technology including 2G/3G/4G/5G services; passive infrastructure service, including the setup, operation, and maintenance o	11321292619776.0	1.3	47.76	-20.44605898778463	47.33977446458364		866742000000.0	1000849000000.0	215865000000.0	1954117000000.0	1490566000000.0	-21.498368458636566	121.05690929640689	6.670904973476867	38.44636347635075	47.33977446458364	0.8121365999559983	1.2651332939330684	헐값	보통(1~1.5)	60.0	2865.6	57.91040266185534	보류	충분
SBIN.NS	SBIN.NS	India Nifty 50	1000.5	-1.6369290679272064	-8.303544827529109		-18.512790339524077	1042.1499969482422	1040.9577474975586	N	N	주의	STATE BANK OF INDIA	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	State Bank of India provides banking products and services in India and internationally. The company operates through the Treasury, Corporate/Wholesale Banking, Retail Banking, and Other Banking Business segments. It offers personal banking products and services, including current, savings, salary, and deposit accounts; home, personal, pension, auto, education, and gold loans, as well as loans against insurance property, and securities; debit, business debit, prepaid, and green remit cards; over	9235232456704.0	1.72	93.54	7.397300658448813	14.39206891326348		6671134748000.0	0.0	0.0	7268922204000.0	5961308694000.0	722.7181373127248	32.21283031494877	3.219673194897428	2.96965857052892	14.39206891326348	0.2063399354482061	5.42556274756993	매우 유망	안심(>=2)	37.28413782652696	3487.558252293332	248.58153446210213	매우 유망	충분
ITC.NS	ITC.NS	India Nifty 50	260.79998779296875	-8.523331389099964	-15.598709452113669		-38.14042124825434	275.5587493896484	312.72175048828126	N	N	주의	ITC LTD	NSI	INR	Consumer Defensive	Tobacco	Tobacco	ITC Limited engages in the fast-moving consumer goods, paperboards, paper and packaging, and agri businesses in India and internationally. The company offers cigarettes and cigars; foods, including staples, spices, biscuits, confectionery and gums, snacks, noodles and pasta, beverages, dairy products, ready-to-eat meals, chocolates, coffee, and frozen foods; personal care products; education and stationery, such as balls, gels and roller pens, mechanical pencils, geometry boxes, erasers, sharpen	3267767042048.0	6.07	15.84	-40.45618236934057	2.5366068168754863		463380800000.0	600000000.0	21265200000.0	23993600000.0	725073000000.0	36.93446532868901	12.994176562463778	4.982429896729506	14.132924397997458	2.5366068168754863	5.57158653992973	0.6089756496606595	매우 불리	불리(<1)	13.573213633750973	214.9997039586154	-17.56145934742568	보류	충분
LT.NS	LT.NS	India Nifty 50	3922.60009765625	-3.128934621887114	2.1829750901901424		-11.21522801764625	3976.7700073242186	3983.2410009765626	N	N	중립	LARSEN & TOUBRO LTD.	NSI	INR	Industrials	Engineering & Construction	Engineering & Construction	Larsen & Toubro Limited engages in engineering, procurement, and construction projects (EPC) in India and internationally. The company operates through four segments: Infrastructure Projects, Energy Projects, Hi-Tech Manufacturing, and Others. The Infrastructure Projects segment is involved in the engineering and construction of building and factories, transportation infrastructure, heavy civil infrastructure, power transmission & distribution, renewables, water and effluent treatment, and miner	5396972437504.0	96.0	120.36	6.96197607119986	15.382271021915606		1378585600000.0	637385900000.0	579444300000.0	1254970400000.0	1092898000000.0	538.7150010760568	86.72195732862914	2.210828408953679	28.11469837637249	15.382271021915606	1.8277339110926205	3.9617096200299606	보통	안심(>=2)	39.26454204383121	4725.880280395525	20.478258367944125	보류	충분
HINDUNILVR.NS	HINDUNILVR.NS	India Nifty 50	1945.0	-9.103656621318823	-11.19532264808425		-26.423302439947037	2063.450003051758	2221.9120025634766	N	N	주의	HINDUSTAN UNILEVER LTD.	NSI	INR	Consumer Defensive	Household & Personal Products	Household & Personal Products	Hindustan Unilever Limited, a fast-moving consumer goods company, manufactures and sells food, home care, and personal care products in India and internationally. It operates through Home Care, Beauty & Wellbeing, Personal Care, Foods, and Others segments. The company offers detergent bars, detergent powders, detergent liquids, and scourers; skin care and hair care products; skin cleansing, oral care, bodywash, and deodorants; and culinary products, such as tomato based products, fruit based pro	4569955303424.0	2.22	44.95	41.233918677810124	14.118426432640984		142350000000.0	0.0	0.0	14780000000.0	487380000000.0	60.58500569959985	41.01990059239503	2.108992318375066	41.9224692836574	14.118426432640984	2.9693443163563242	0.3897295820551815	매우 불리	불리(<1)	36.73685286528197	1651.3215362944245	-15.099149804913903	보류	충분
BAJFINANCE.NS	BAJFINANCE.NS	India Nifty 50	1039.300048828125	13.176528655517728	16.29832937223501		-10.312391695258238	1078.3175094604492	977.3355017089843	N	Y	상승전환/양호	BAJAJ FINANCE LIMITED	NSI	INR	Financial Services	Credit Services	Credit Services	Bajaj Finance Limited operates as a deposit-taking non-banking financial company in India. The company offers financing for various products, such as consumer electronics, furniture, digital products, lifestyle products, lifecare services, e-commerce purchases, retail spends, and two and three-wheelers; and personal, unsecured, home, secured, gold, and car loans. It also provides secured and unsecured loans to micro, small, and medium enterprises; loans against property, mutual funds, insurance 	6465395359744.0	51.0	32.57	14.302174203110752	18.22815698685951		40161800000.0	0.0	0.0	3528467100000.0	1139990200000.0	6.455933291704096	-107.30080762346581	-10.324333934598974	31.711517210206356	18.22815698685951	1.7396995885577933	2.183060385536471	보통	안심(>=2)	44.95631397371902	1464.2271461240284	40.8858921708928	보류	충분
KOTAKBANK.NS	KOTAKBANK.NS	India Nifty 50	414.0	2.6531149345147	8.037574846508221		-6.991372092595949	399.3050003051758	400.5406503295898	Y	Y	상승전환/양호	KOTAK MAHINDRA BANK LTD	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	Kotak Mahindra Bank Limited provides a range of banking and financial services to corporate and individual customers in India. It operates through Corporate/Wholesale Banking; Retail Banking; Treasury, BMU and Corporate Centre; Vehicle Financing; Other Lending Activities; Broking; Advisory and Transactional Services; Asset Management; and Insurance segments. The company offers savings, current, retail institution, corporate, private banking, and salary accounts; NRE and NRO fixed deposits and fo	4118329688064.0	16.0	20.42	-12.82698142894313	8.923950945073944		1034828436000.0	0.0	0.0	953935315000.0	1812258709000.0	104.02736414359663	40.88253975160469	9.875009601836881	15.179854841155894	8.923950945073944	1.7010240121876996	1.6419097024234832	보통	양호(>=1.5)	26.347901890147888	538.0241565968199	29.95752574802413	보류	충분
AXISBANK.NS	AXISBANK.NS	India Nifty 50	1238.5	-5.981936226163953	-5.7959955884955505		-11.724875267284396	1250.2125122070313	1288.5840020751953	N	N	주의	AXIS BANK LIMITED	NSI	INR	Financial Services	Banks - Regional	Banks - Regional	Axis Bank Limited provides various financial products and services in India and internationally. The company operates through four segments: Treasury, Retail Banking, Corporate/Wholesale Banking, and Other Banking Business. It provides fixed, recurring, and safe deposits; and saving, salary, current, safe custody, pension disbursement, and demat and trading accounts. The company also offers home, personal, car, two-wheeler, business, commercial vehicle construction equipment, education, gold loa	3855978332160.0	8.0	88.89	-5.953496528796354	34.605620932767664		1180410900000.0	0.0	0.0	2805106200000.0	2150353500000.0	379.1356686934422	-34.838501143744494	-2.8129593172179645	9.667727880600268	34.605620932767664	0.2793687158332711	4.40699422438877	매우 유망	안심(>=2)	60.0	5333.4	330.63383124747673	보류	충분
ASIANPAINT.NS	ASIANPAINT.NS	India Nifty 50	2489.0	-9.405252658097362	11.514336917562717		-16.15293919487957	2665.3324951171876	2594.9949975585937	N	N	중립	ASIAN PAINTS LIMITED	NSI	INR	Basic Materials	Specialty Chemicals	Specialty Chemicals	Asian Paints Limited, together with its subsidiaries, engages in the manufacture, distribution, and sale of paints, coatings, and products related to home decoration and bath fittings, kitchen, and wardrobe in India, Asia, the Middle East, Africa, and the South Pacific region. The company offers wall coverings, waterproofing products, adhesives; and bath fittings and sanitaryware, modular kitchens and wardrobes, fabric, furnishings, rugs, decorative lightings, unplasticized polyvinyl chloride wi	2386065620992.0	1.11	49.63	17.945970119136234	1.7462094983582643		165304500000.0	12471700000.0	10460900000.0	39289300000.0	213715900000.0	159.42597353067228	58.42479874143516	2.3473201583541647	46.93882785551738	1.7462094983582643	26.880410340023868	0.060849612758758616	매우 불리	불리(<1)	11.992418996716529	595.1837548070414	-76.0874345196046	보류	충분
MARUTI.NS	MARUTI.NS	India Nifty 50	12618.0	-5.596289091725271	-6.51255834629918		-27.02984038861902	13609.5	14236.23	N	N	주의	MARUTI SUZUKI INDIA LTD.	NSI	INR	Consumer Cyclical	Auto Manufacturers	Auto Manufacturers	Maruti Suzuki India Limited manufactures and sells motor vehicles, parts, and accessories in India. The company offers passenger and commercial vehicles, including hatchbacks, sedans, SUVs, MPVs, and vans, as well as light commercial vehicles. It is also involved in the facilitation of pre-owned car sales, fleet management, and car financing activities. In addition, the company offers driving school, insurance, accessories, and financing products and services. It also exports its products to Sou	3967131582464.0	1.11	456.34	1.2365346684873213	21.109694032148575		345829000000.0	0.0	0.0	1025000000.0	1071563000000.0	1099.9560073576242	276.7884463948441	2.1935999872788403	25.240049070084535	21.109694032148575	1.195661530273519	0.8803348190984382	보통	불리(<1)	50.71938806429715	23145.28554926136	83.43069859931336	보류	충분
SUNPHARMA.NS	SUNPHARMA.NS	India Nifty 50	1864.9000244140625	3.1642459914382526	2.135932936005913		-6.80625420186688	1934.0375	1805.3320025634766	N	Y	상승전환/양호	SUN PHARMACEUTICAL IND L	NSI	INR	Healthcare	Drug Manufacturers - Specialty & Generic	Drug Manufacturers - Specialty & Generic	Sun Pharmaceutical Industries Limited, a generic pharmaceutical company, develops, manufactures, and markets branded and generic formulations, and active pharmaceutical ingredients (APIs) in India, the United States, and internationally. The company offers formulations in various therapeutic areas, including neuropsychiatry, cardiology, diabetes, gastroenterology, pain/analgesics, gynecology, ophthalmology, urology, dermatology, respiratory, anti-infectives, oncology, psychiatry, neurology, orth	4474519683072.0	85.0	50.35	5.035940942662842	10.649894433841345		577924100000.0	312600000.0	40503500000.0	46273200000.0	835700900000.0	240.7381658760219	36.717715992777784	1.9688838818217191	32.257435124886605	10.649894433841345	3.028897171260651	2.965204581936754	매우 불리	안심(>=2)	29.79978886768269	1500.4193694878234	-19.544246348581407	보류	충분
