티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
7203.T	7203.T	Japan Nikkei 225	2971.0	5.579246624022738	-15.476529160739682		-24.67038539553753	3019.975	3187.545	N	N	주의	TOYOTA MOTOR CORP	JPX	JPY	Consumer Cyclical	Auto Manufacturers	Auto Manufacturers	Toyota Motor Corporation designs, manufactures, assembles, and sells passenger vehicles, minivans and commercial vehicles, and related parts and accessories in Japan, North America, Europe, Asia, Central and South America, Oceania, Africa, the Middle East, and internationally. The company operates through Automotive, Financial Services, and All Other segments. The company offers subcompact and compact cars; mini-vehicles; mid-size, luxury, sports, and specialty cars; recreational and sport-utili	35454451712000.0	3.37	351.47	-19.24389192556021	16.22034398017016		20624512000000.0	25076787000000.0	17417669000000.0	43205469000000.0	39918854000000.0	-375.97851209810017	15.164205574561331	0.510407457911859	9.52279998889834	16.22034398017016	0.5870898915917097	2.0572041839593966	헐값	안심(>=2)	40.94068796034032	14389.423597420813	384.3293031780819	양호	충분
6758.T	6758.T	Japan Nikkei 225	3625.0	7.090103397341219	4.376619637201262		-22.872340425531913	3704.575	3622.33	N	Y	상승전환/양호	SONY GROUP CORPORATION	JPX	JPY	Technology	Consumer Electronics	Consumer Electronics	Sony Group Corporation develops, designs, produces, manufactures, supplies, and sells electronic equipment, instruments, and devices for consumer, professional, and industrial use in Japan, the United States, Europe, China, the Asia-Pacific, and internationally. The company operates through Game & Network Services, Music, Pictures, Entertainment Technology & Services, and Imaging & Sensing Solutions. It develops, designs, produces, manufactures, provides, and sells smartphones and image sensors;	21265582653440.0	97.0	186.33	44.4			2265213000000.0	824393000000.0	217593000000.0	1669669000000.0	8119011000000.0	246.62315677563646	254.68793700817133	7.025874124363347	18.131148195268413	44.4	0.4083591935871264	7.798733895788265	매우 유망	안심(>=2)	8.5	1583.805	-56.3088275862069	양호	충분
9984.T	9984.T	Japan Nikkei 225	6810.0	5.401640612908221	73.45899133978604		-21.10750695088045	5527.875	5074.5225	Y	Y	상승전환/양호	SOFTBANK GROUP CORP	JPX	JPY	Communication Services	Telecom Services	Telecom Services	SoftBank Group Corp. provides telecommunication services in Japan and internationally. It operates through Investment Business of Holding Companies, SoftBank Vision Funds, SoftBank, AI Computing Business, and Other segments. The company offers mobile services and broadband services to retail customers; mobile communications and solutions services to enterprise customers; ICT services products to enterprise customers; media, advertising and commerce services; and payment and financial services. I	38809668419584.0	16.0	872.36	333.7234204895035			9633366000000.0	17433486000000.0	7251630000000.0	25663566000000.0	17621823000000.0	-1368.70054930395	-379.4860421838099	-5.57248226407944	9.375373182291657	333.7234204895035	0.02809324310694142	37.30234665752466	매우 유망	안심(>=2)	8.5	7415.06	8.884875183553609	보류	충분
6861.T	6861.T	Japan Nikkei 225	76280.0	4.650843737138155	23.530364372469627		-12.981975815651381	79710.25	67474.15	N	Y	상승전환/양호	KEYENCE CORP	JPX	JPY	Technology	Scientific & Technical Instruments	Scientific & Technical Instruments	Keyence Corporation, together with its subsidiaries, manufactures and sells electronic application equipment in Japan and internationally. The company offers photoelectric, fiber optic, laser, inductive proximity, positioning, vision, and specific solution sensors, as well as network communication units; laser profiler/3D laser snapshot sensor, laser displacement sensors, optical micrometer/laser micrometer, spectral interference displacement sensor, inductive displacement sensors, and LVDT/cont	18553172393984.0	72.0	1838.35	11.671466126183972	7.043275268619209		2390802000000.0	0.0	0.0	0.0	3471471000000.0	9857.955506929393	1658.8342414124036	2.174664710818568	36.13133760876362	7.043275268619209	5.129905651954868	2.1876653481394315	매우 불리	안심(>=2)	22.586550537238416	41521.985180132244	-45.566353985143884	보류	충분
8035.T	8035.T	Japan Nikkei 225	53700.0	-13.148956817079082	28.499641062455126		-31.852791878172592	58125.75	48435.3	N	Y	상승전환/양호	TOKYO ELECTRON	JPX	JPY	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Tokyo Electron Limited, together with its subsidiaries, develops, manufactures, and sells semiconductor production equipment in Japan, South Korea, Taiwan, China, North America, Europe, and internationally. The company provides coaters/developers, plasma etch systems, cleaning systems, deposition systems, test systems, 3D integration systems, SiC Epitaxial CVD systems, and gas cluster beam systems, as well as other deposition and lithography and other products. It also offers engineering service	23991416782848.0	1.39	1251.21	5.572350877450916	6.798560410225418		561248000000.0	0.0	0.0	0.0	2069994000000.0	1235.4212726490891	705.0257904492299	1.3128971889184915	41.93107370253667	6.798560410225418	6.167640084431694	0.19528620870326155	매우 불리	불리(<1)	22.097120820450836	27648.138541756292	-48.51370848834955	보류	충분
6954.T	6954.T	Japan Nikkei 225	5848.0	-13.529498743161316	-6.938255887969447		-30.612244897959183	6358.1	6493.66	N	N	주의	FANUC CORPORATION	JPX	JPY	Industrials	Specialty Industrial Machinery	Specialty Industrial Machinery	Fanuc Corporation engages in the development, manufacture, sale, and maintenance services of products used in automated production systems in Japan, the United States, Europe, China, the rest of Asia, and internationally. It offers CNC series, robots, and robomachine products, such as, compact machining centers, electric injection molding machines, wire electrical discharge machines; and field system basic package, and AI servo monitors, as well as servo motors, lasers. The company was incorpora	5383789215744.0	1.83	178.36	12.866892116266925	-0.7965405408966175		789671000000.0	0.0	0.0	0.0	1864871000000.0	849.8389171637367	247.21782470961674	4.227390983406579	28.022881155170797	-0.7965405408966175		0.03687912935792785	판정불가	불리(<1)	6.906918918206765	1231.9180582513586	-78.93436972894395	보류	일부부족
6857.T	6857.T	Japan Nikkei 225	32840.0	30.136714880126814	27.73239984441851		-13.07570142932769	32508.875	26460.55	Y	Y	상승전환/양호	ADVANTEST CORP	JPX	JPY	Technology	Semiconductor Equipment & Materials	Semiconductor Equipment & Materials	Advantest Corporation, together with its subsidiaries, manufactures and sells semiconductors, component test systems, and mechatronics-related products in Japan, rest of Asia, the Americas, and Europe. The company offers automated test equipment, including system on chip, power device, and memory test systems, as well as burn-in and SSD test systems; and metrology and SEM tools. It also provides component test systems, such as die level, SoC, and memory test handlers, as well as change kits, and	24499789496320.0	18.0	515.59	132.8824832327193	42.25059773479647		339966000000.0	0.0	0.0	20192000000.0	795726000000.0	470.68348770452883	414.1764373901661	1.2611949981430148	62.781117772446066	42.25059773479647	1.485922593723241	0.9596929757316266	보통	불리(<1)	60.0	30935.4	-5.799634591961023	보류	충분
6594.T	6594.T	Japan Nikkei 225	2591.0	-0.15414258188825025	12.310359774599045		-10.624353225250083	2628.85	2403.135	N	Y	상승전환/양호	NIDEC CORPORATION	JPX	JPY	Industrials	Specialty Industrial Machinery	Specialty Industrial Machinery	Nidec Corporation, together with its subsidiaries, develops, manufactures, and sells motors, electronics and optical components, and other related products in Japan and internationally. The company offers medium- and large-size motors, small-size and precision motors, fans and blowers, motor-related products, units and modules, automotive components, mechanical equipment/machine tools, inspection and measuring equipment, electronic devices, as well as mold, molding, cutting, and machining compon	3137450278912.0	1.92	104.94	32.067815676348886	6.581109751515668		248811000000.0	0.0	257559000000.0	636046000000.0	1719296000000.0	217.05388229526966	118.29175311926029	4.565486419114639	22.621937466216224	6.581109751515668	3.437404681027582	0.37579052475992786	매우 불리	불리(<1)	21.662219503031338	2273.2333146481087	-12.264248759239338	보류	충분
9432.T	9432.T	Japan Nikkei 225	172.1999969482422	15.570467750498107	13.964255454941132		-1.9362238252253472	160.7674991607666	154.53550010681153	Y	Y	상승전환/양호	NTT INC	JPX	JPY	Communication Services	Telecom Services	Telecom Services	NTT, Inc. operates as a telecommunications company in Japan and internationally. The company operates through the Comprehensive ICT Business, Regional Communications Business, Global Solutions Business, and Others segments. Its Comprehensive ICT Business segment offers mobile phone and fiber-optic broadband services; financial, content, and lifestyle services; and corporate communication services and solutions. This segment also engages in engineering, system development, and related businesses.	14196094795776.0	3.14	12.61	3.7015407753475893	-5.093357650896701		4814410000000.0	11315960000000.0	4395648000000.0	16919540000000.0	9727623000000.0	-80.23837213198735	-9.50958398217745	-5.5224065915841605	20.01890317844802	-5.093357650896701		-0.09757565804102841	판정불가	불리(<1)	0.0	0.0	-100.0	보류	일부부족
9433.T	9433.T	Japan Nikkei 225	2976.5	8.157703488372103	11.542064830429076		-4.231016731016735	2912.375	2724.49	Y	Y	상승전환/양호	KDDI CORPORATION	JPX	JPY	Communication Services	Telecom Services	Telecom Services	KDDI Corporation engages in the provision of mobile telecommunications services in Japan and internationally. It operates in two segments, Personal Services and Business Services. The Personal Services segment offers 5G telecommunication services and other services, such as finance, energy, and LX through its multi-brands comprising au, UQ mobile, and povo; and entertainment services, including video to individual customers. The Business Services segment provides smartphones and other devices, n	11117455736832.0	2.82	183.65	7.8875096122157595	2.7737376722015927		2887775000000.0	2588058000000.0	2710284000000.0	5805637000000.0	5076738000000.0	81.09307968107844	300.2863074326977	10.08857071838393	15.765896652975341	2.7737376722015927	5.6839898058786185	0.3547998439496267	매우 불리	불리(<1)	14.047475344403185	2579.8188469996453	-13.327100722336793	보류	충분
