티커	종목코드	유니버스	현재가	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	40일이평(보조)	200일이평(보조)	40일선상회(보조)	200일선상회(보조)	추세판정(보조)	종목명	시장	통화	섹터	산업	업종	사업설명	시가총액	배당수익률(%)	EPS(FY)	EPS Growth 1Y(%)	EPS Growth 3Y CAGR(%)	EPS Growth 5Y CAGR(%)	현금및단기투자	장기부채	단기위험부채	총부채	주주지분	주당순현금(린치식)	주당잉여현금흐름	잉여현금흐름수익률(%)	순현금차감PER(린치식)	사용연성장률(%)	린치PER배수	배당감안점수	린치PER판정	배당감안점수판정	그레이엄적정PER(3년)	그레이엄내재가치(3년)	그레이엄괴리율(3년,%)	종합판정	데이터상태
2330.TW	2330.TW	Taiwan 50	2470.0	9.534368070953448	33.5135135135135		-1.5936254980079667	2382.25	2023.325	Y	Y	상승전환/양호	TAIWAN SEMICONDUCTOR MANUFACTUR	TAI	TWD	Technology	Semiconductors	Semiconductors	Taiwan Semiconductor Manufacturing Company Limited, together with its subsidiaries, manufactures, packages, tests, and sells integrated circuits and other semiconductor devices in Taiwan, China, Europe, the Middle East, Africa, Japan, the United States, and internationally. It provides various wafer fabrication processes, such as processes to manufacture complementary metal- oxide-semiconductor (CMOS) logic, mixed-signal, radio frequency, embedded memory, bipolar CMOS mixed-signal, and others. T	63923290112000.0	1.13	85.46	46.54981153856048	19.574951863097922		3488279800000.0	896062000000.0	136925700000.0	1064582700000.0	5355038700000.0	99.96069751058748	38.26794070252923	1.5493093401833695	27.73273230153771	19.574951863097922	1.41674587480435	0.7465889634664625	보통	불리(<1)	47.649903726195845	4072.1607724406967	64.86480860083792	보류	충분
2317.TW	2317.TW	Taiwan 50	251.5	-4.372623574144486	20.04773269689737		-18.608414239482197	250.4375	235.8125	Y	Y	상승전환/양호	HON HAI PRECISION INDUSTRY	TAI	TWD	Technology	Electronic Components	Electronic Components	Hon Hai Precision Industry Co., Ltd. provides electronic manufacturing services. The company offers consumer electronics, including smartphones, feature phones, wearable devices, televisions, game consoles, set-top boxes, and audio systems; cloud and networking products comprising routers, servers, edge computing, data centers, and satellite communications and other related equipment; electronic computing equipment, such as desktop computers, laptops, tablets, multi-function devices and printers	3530941530112.0	2.85	15.12	23.999718516214784	10.202197342011932		2177167157000.0	306085648000.0	940440828000.0	1286493270000.0	1772771627000.0	133.5373406156398	3.6640530452619244	1.4568799384739262	7.801763186796309	10.202197342011932	0.7647140047633854	1.6729804570461004	헐값	양호(>=1.5)	28.904394684023863	437.0344476224408	73.77115213615934	양호	충분
2454.TW	2454.TW	Taiwan 50	4710.0	13.357400722021652	176.24633431085047		-1.0504201680672232	3889.0	2684.0	Y	Y	상승전환/양호	MEDIATEK INC	TAI	TWD	Technology	Semiconductors	Semiconductors	MediaTek Inc. engages in the research, development, production, manufacture, and marketing of multimedia integrated circuits (ICs) in Taiwan, rest of Asia, and internationally. The company offers multimedia, computer peripherals oriented, consumer-oriented, and other ICs for various applications. It also offers design, test runs, maintenance and repair, and technological consultation services for software and hardware solutions; and sale and delegation patents and circuit layout rights for its I	7386899152896.0	1.14	60.76	-1.0032496768530352	-3.7570524355304835		260128122000.0	60000000.0	4480763000.0	13730009000.0	400600988000.0	162.83084679092542	86.01057225052534	1.826126799374211	74.83820199488272	-3.7570524355304835		-0.03496947235196046	판정불가	불리(<1)	0.985895128939033	59.90298803433564	-98.72817435171261	보류	일부부족
2308.TW	2308.TW	Taiwan 50	1805.0	-17.954545454545457	39.92248062015504		-28.373015873015873	1760.375	1588.8	Y	Y	상승전환/양호	DELTA ELECTRONIC	TAI	TWD	Technology	Electronic Components	Electronic Components	Delta Electronics, Inc., together with its subsidiaries, provides power and thermal management solutions in Mainland China, the United States, Taiwan, Thailand, and internationally. It operates through Power Electronics, Mobility, Automation, and Infrastructure segments. The company offers inductors, transformer components, networking products, EMI filters, solenoids, current sensing resistors, power modules, and stamping and over molding components; embedded power, adapters, industrial and medi	4662590701568.0	64.0	31.41	70.62397666530782	22.54086445612693		159053571000.0	56703273000.0	17326736000.0	76525994000.0	268057976000.0	39.40272982449256	19.757704684663608	1.0946096778206986	56.2113107346548	22.54086445612693	2.4937513307913868	1.5395631826598497	매우 불리	양호(>=1.5)	53.58172891225386	1683.0021051338938	-6.758886142166554	보류	충분
2382.TW	2382.TW	Taiwan 50	328.0	-13.797634691195793	16.106194690265486		-21.34292565947242	324.5	312.355	Y	Y	상승전환/양호	QUANTA COMPUTER	TAI	TWD	Technology	Computer Hardware	Computer Hardware	Quanta Computer Inc. manufactures, processes, and sells laptop computers and cloud-computing server related products in the United States, Mainland China, the Netherlands, Japan, and internationally. The company provides notebook PCs; servers, storage devices, and network switches; cameras, including automotive cameras, camera module, and AI dash-camera and AI body-worn camera; and smart healthcare solutions. It also offers mobile computing solutions for the wireless communication of notebook PC	1402035372032.0	4.76	22.63	25.603756952240488	37.322961044476074		230393427000.0	56578932000.0	258327344000.0	322496262000.0	243577029000.0	42.39875957136819	-6.229886661808861	-1.8993556895758723	12.620470191278471	37.322961044476074	0.33814225447544827	3.334500252895333	매우 유망	안심(>=2)	60.0	1357.8	313.9634146341463	보류	충분
2303.TW	2303.TW	Taiwan 50	137.0	15.61181434599157	126.82118632282014		-23.24929971988795	126.3625	91.14825006484985	Y	Y	상승전환/양호	UNITED MICRO ELECTRONICS	TAI	TWD	Technology	Semiconductors	Semiconductors	United Microelectronics Corporation operates as a semiconductor wafer foundry in Taiwan, China, Hong Kong, Japan, Korea, the United States, Europe, and internationally. It manufactures and sells integrated circuits. The company offers circuit design; mask tooling; wafer fabrication; and assembly and testing services for communication devices, consumer electronics, computer, and other applications. It also provides venture capital and marketing support; consulting and planning; energy technical; 	1774345256960.0	1.9	6.59	-17.259341564967112	-23.3089317909408		146070330000.0	45372054000.0	8408772000.0	59781672000.0	365824997000.0	8.030458271970222	3.918048719616251	2.8598895763622267	19.57049191624124	-23.3089317909408		-1.0939393798872203	판정불가	불리(<1)	0.0	0.0	-100.0	보류	일부부족
2412.TW	2412.TW	Taiwan 50	139.0	-3.472222222222221	2.9629629629629672		-5.119453924914675	137.325	135.7825	Y	Y	상승전환/양호	CHUNGHWA TELECOM	TAI	TWD	Communication Services	Telecom Services	Telecom Services	Chunghwa Telecom Co., Ltd., together with its subsidiaries, operates as an integrated telecommunications service provider in Taiwan and internationally. The company operates through Consumer Business, Enterprise Business, International Business, and Others segments. Its services primarily include mobile, fixed-line, information and communication technology (ICT), and sales and other services. The company provides mobile services, including prepaid and postpaid plans; fixed-line services, such as	1082163789824.0	3.74	5.07	4.0764742262497045	2.1070421075218615		80236000000.0	24888000000.0	2240000000.0	38019000000.0	384131000000.0	7.134821964796407	6.394372131635488	4.600267720601071	26.008910855069743	2.1070421075218615	12.34380213011471	0.22480918713219153	매우 불리	불리(<1)	12.714084215043723	64.46040697027168	-53.625606496207425	보류	충분
2882.TW	2882.TW	Taiwan 50	113.5	13.613611878272124	59.63432128808219		-1.7316017316017285	101.11000003814698	83.52749984741212	Y	Y	상승전환/양호	CATHAY FINANCIAL HLDG CO	TAI	TWD	Financial Services	Insurance - Life	Insurance - Life	Cathay Financial Holding Co., Ltd., through its subsidiaries, provides various financial products and services in Taiwan, rest of Asia, and internationally. The company offers consumer banking services, such as deposit and remittance services; and credit services, including secured and unsecured consumer loans, adjustable-rate mortgage, revolving mortgage, and government subsidized mortgage. It also provides corporate banking services, including corporate, sustainable, working capital, capital e	1620947632128.0	3.08	7.06	-2.836521477400711	42.07576363585104		790688699000.0	0.0	0.0	441882992000.0	928286508000.0	53.90124614754305	12.470106092966152	10.98687761494815	8.441749837458492	42.07576363585104	0.2006321242442198	5.349099950283035	매우 유망	안심(>=2)	60.0	423.59999999999997	273.215859030837	매우 유망	충분
2891.TW	2891.TW	Taiwan 50	68.19999694824219	0.0	33.2031170546544		-5.801111172816009	64.82250003814697	56.60600004196167	Y	Y	상승전환/양호	CTBC FINANCIAL HOLDINGS COMPANY	TAI	TWD	Financial Services	Banks - Regional	Banks - Regional	CTBC Financial Holding Co., Ltd., together with its subsidiaries, engages in corporate and personal finance, life insurance, and other businesses in Taiwan, Asia, and North America. The company offers commercial banking and capital market services; customized financing and wealth management and credit services; life insurance services; and designs, provides, and trades in various financial products. It is also involved in deposit and loan; securities and futures; venture capital; asset managemen	1310417092608.0	3.67	4.06	11.926931815510834	37.10774106785184		641748921000.0	0.0	0.0	331234874000.0	518343310000.0	32.61593375660972	0.003445935736237338	0.00505269192145639	8.764547584145928	37.10774106785184	0.23619189236337168	4.652577976941348	매우 유망	안심(>=2)	60.0	243.59999999999997	257.1847667161495	매우 유망	충분
2881.TW	2881.TW	Taiwan 50	149.0	21.63265306122448	68.74291602533961		-0.9966777408637828	132.35	105.80449989318848	Y	Y	상승전환/양호	FUBON FINANCIAL HLDG CO LTD	TAI	TWD	Financial Services	Insurance - Life	Insurance - Life	Fubon Financial Holding Co., Ltd. provides various financial products and services in Taiwan, Asia, and internationally. It operates through Banking Business, Property Insurance Business, Life Insurance Business, Securities Business, and Others segments. The company offers insurance products, including property, casualty, life, health, accident, fire, transportation, fishing vessel, car, liability, engineering and nuclear, guarantee and letter of credit, and personal and commercial multiple peri	2008861245440.0	2.85	8.37	-19.809129596654984	37.10650367758417		922185721000.0	0.0	0.0	600644627000.0	982581684000.0	67.48166890931621	0.4210099576148224	0.28255701853343784	9.739346605816463	37.10650367758417	0.2624700696794548	4.102585655358197	매우 유망	안심(>=2)	60.0	502.19999999999993	237.04697986577176	매우 유망	충분
2886.TW	2886.TW	Taiwan 50	50.599998474121094	16.589854136177664	29.577463412851944		-4.708098063728583	48.691250038146975	42.35925001144409	Y	Y	상승전환/양호	MEGA FINANCIAL HOLDING CO	TAI	TWD	Financial Services	Banks - Regional	Banks - Regional	Mega Financial Holding Co., Ltd. provides various financial services in Taiwan. It offers brokerage, dealing and underwriting of short-term debt instruments and financial debentures; notary services for short-term debt instruments and financial debentures; guarantee or endorsement services for short-term debt instruments; brokerage for inter-bank call loans; proprietary trading in government bonds; and foreign and domestic securities brokerage, securities dealing, securities underwriting, and fu	746118905856.0	3.46	2.36	0.783077986276548	24.094823796719123		877500768000.0	0.0	0.0	108798705000.0	392369102000.0	59.15717588520136	10.708101147312195	21.162255870005126	-3.625922631813673	24.094823796719123	-0.15048554255488672		판정불가	판정불가	56.689647593438245	133.78756832051425	164.40231690706213	보류	충분
