티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
IBM	INTERNATIONAL BUSINESS MACHINES CORP	0000051143	Dow 30	제외	PEG=매우 유망, PEGY=안심	232.08999633789062	11.17	2025	2.88	13587000000.0	608000000.0	14195000000.0	54836000000.0	6424000000.0	32648000000.0	119139000000.0	21.509088393604195	78.49091160639581	0.2740328523825112	-42.839739881982034	-49.61128804767315	24.613226161134527	25.21945249646945	73.71695178849146	83.76390990316042	12.386209881346621	155.9339035769829	176.02781980632085	33.27241976269325	1741.7817029548992	1966.230747236604	371.65292874928355	650.4768539955114	747.1846172870142	60.13310983391493	3년	176.02781980632085	1966.230747236604	747.1846172870142	3.112024051095006	3.5202175178471866	0.6202441639061809	12.756736597321586	5.4964611997966335	3년	3.5202175178471866	안심	3년	83.76390990316042	0.2938404641042892	매우 유망	N	주당순현금<=0	948675228.0	-16.360948320383883	-7.238209764685932		-29.505212589040497	240.55959838867187	262.0337494659424	N	N	주의	단기위험부채 존재
DIS	Walt Disney Co	0001744489	Dow 30	제외	PEG=매우 유망, PEGY=안심	105.05999755859375	6.85	2025	1.42	5695000000.0		5695000000.0	35315000000.0	6711000000.0	109869000000.0					-16.35560463832137	-20.06129210381005	17.724905430206586	18.2658817025407	151.8382352941176	58.50904212609996		312.1764705882352	125.51808425219991		2138.408823529411	859.7988771275693		1935.416783954125	718.3884419453225		3년	125.51808425219991	859.7988771275693	718.3884419453225	8.64649100090185	3.3810641394999803		5.564329099944782	5.296334693746267	3년	3.3810641394999803	안심	3년	58.509042126099956	0.3029430116460544	매우 유망	N	주당순현금<=0	1811000000.0	5.768645547077433	3.691273070503742		-10.488203885082347	101.33520050048828	103.95695026397705	Y	Y	상승전환	단기위험부채 존재
TRV	TRAVELERS COMPANIES, INC.	0000086312	Dow 30	제외	PEG=매우 유망, PEGY=안심	365.6600036621094	27.43	2025	1.35	842000000.0		842000000.0	5861000000.0	100000000.0	32894000000.0	110814000000.0	22.88947031480502	77.11052968519499	0.29683974949013664	-22.051845342706503	-22.491212653778557	14.134591651652055	14.150609417276264	27.759664648346536	32.58155699339016	40.000996302713745	64.01932929669307	73.66311398678032	88.50199260542749	1756.0502026082909	2020.579216657384	2427.609657166876	380.24125827854584	452.5841482309107	563.8980563513107	3년	73.66311398678032	2020.579216657384	452.5841482309107	2.059462725613597	2.4006039813272024	2.9255175757327683			3년	2.4006039813272024	안심	3년	32.58155699339016	0.4338218598491026	매우 유망	N	주당순현금<=0 | FCF<=0	227600000.0	21.785180237172153	20.9033199015898		-7.945218634914209	363.90899963378905	312.8172494506836	Y	Y	강한 상승추세	단기위험부채 존재
CRM	Salesforce, Inc.	0001108524	Dow 30	제외	PEG=매우 유망, PEGY=안심	249.1199951171875	7.8	2025	68.0	7327000000.0	57139000.0	7384139000.0	10439000000.0	4000000000.0	59142000000.0	53163000000.0	52.66194737545078	47.33805262454922	1.1124654364877828	-3.19546129707113	-7.379561715481172	32.34813543772547	32.88455856829085	85.7142857142857	74.02472751880647	12.233911375838758	179.9285714285714	156.54945503761294	32.96782275167752	1403.4428571428568	1221.085749293381	257.14901746308465	463.36018169985476	390.1596713338788	3.2229537986785184	3년	156.54945503761294	1221.085749293381	390.15967133387875	4.751874679460474	4.3905073846442635	2.480325690805267	15.064853556485355	6.047227782498455	3년	4.390507384644264	안심	3년	74.02472751880647	0.4369909423781021	매우 유망	N	주당순현금<=0	956000000.0	42.070137693706556	27.812831787256577		-6.426779537645466	193.46539978027343	200.82465057373048	Y	Y	상승전환	단기위험부채 존재
BA	BOEING CO	0000012927	Dow 30	제외	PEG=헐값, PEGY=보통	210.72999572753906	2.48	2025	3.9007261266345563	10921000000.0	18479000000.0	29400000000.0	53848000000.0	6109000000.0	5454000000.0	162778000000.0	3.2419515906605163	96.75804840933948	0.03350575630613473	-32.07136298045389	-40.08526826708645	97.90377367257781	101.13518709460706	113.50762527233115			235.5152505446623			584.0778213507625			177.16880994290878			1년	235.5152505446623	584.0778213507625	177.16880994290878	1.1992219195923701			-2.462285189557917	-1.168455008532103	1년	1.19922191959237	보통	1년	113.50762527233115	0.8625303669042844	헐값	N	주당순현금<=0 | FCF<=0	762300000.0	-1.7621550865204116	-3.2283242820692615		-16.426729792406636	219.28039916992188	220.3521501159668	N	N	주의	단기위험부채 존재
JPM	JPMORGAN CHASE & CO	0000019617	Dow 30	제외	PEG=헐값, PEGY=보통	353.510009765625	20.02	2025	1.67	278793000000.0		278793000000.0	267889000000.0	64776000000.0	362438000000.0	4062462000000.0	8.19087437004226	91.80912562995775	0.08921634220824712	3.9201869494876864	-19.367966924321408	17.46202911169517	18.625273560936385	1.3670886075949347	18.30758541328956	17.65495483894246	11.23417721518987	45.115170826579124	43.80990967788492	224.9082278481012	903.205719948114	877.074391751256	-36.37854045569628	155.49650504859363	148.1045423106268	3년	45.115170826579124	903.205719948114	155.49650504859363	0.1739252974650494	1.1440586477953814	1.1066843787357792			3년	1.1440586477953814	보통	3년	18.307585413289562	0.9538138819234676	헐값	N	FCF<=0	2781500000.0	13.050846167404174	22.43618477968483		-3.195679704314258	350.26440002441404	318.6123007202148	Y	Y	강한 상승추세	단기위험부채 존재
NVDA	NVIDIA CORP	0001045810	Dow 30	보류	PEG=보통, PEGY=양호	225.72999572753906	4.9	2026	43.0	10605000000.0	34621000000.0	45226000000.0	7469000000.0	0.0	157293000000.0	49510000000.0	76.05934149891442	23.940658501085572	3.1769945465562515	1.5402219140083218	1.5402219140083218	45.75301506398586	45.75301506398586	66.66666666666669	41.21547046890686	-6.616661124591561	141.83333333333337	90.93094093781372	-4.7333222491831215	694.9833333333336	445.5616105952872	-23.1932790209973	207.88257940348936	97.38697515995598	-110.27478822486316	3년	90.93094093781372	445.5616105952872	97.38697515995598	2.3969276453868056	1.8406540061049752	0.7952118308383858	4.184517622583014	1.8537711876067267	3년	1.8406540061049752	양호	3년	41.21547046890686	1.1100932378899362	보통	Y		24514000000.0	8.424993073848164	22.168095744955842		-4.246207488068999	211.23039947509767	196.90130012512208	Y	Y	강한 상승추세	
AMZN	AMAZON COM INC	0001018724	Dow 30	보류	PEG=보통, PEGY=판정불가	256.9700012207031	7.17	2025		86810000000.0	36219000000.0	123029000000.0	65648000000.0	455000000.0	411065000000.0					5.29980604045442	5.257781472245313	35.10044563183385	35.10630679894809	29.656419529837247		-12.638188158251552	67.8128390596745		-16.776376316503104	486.2180560578662		-120.28661818932726	89.21199118502142		-146.8095955239604	1년	67.8128390596745	486.2180560578662	89.21199118502142				12.263507896924356	4.7723500169934745	판정불가		판정불가	1년	29.656419529837247	1.1835699045368366	보통	Y		10827000000.0	5.233628998535056	19.894554670539954		-9.52397325515939	254.43499938964842	239.29494995117187	Y	Y	강한 상승추세	단기위험부채 존재
MSFT	MICROSOFT CORP	0000789019	Dow 30	보류	PEG=보통, PEGY=안심	493.95001220703125	17.95	2026	73.0	20935000000.0	55908000000.0	76843000000.0	31067000000.0	0.0	442387000000.0	315989000000.0	58.33346519404623	41.66653480595377	1.4000075952010989	6.141956259224473	6.141956259224473	27.17593626450177	27.17593626450177	31.5982404692082	22.855998285745223	17.396112163192925	71.6964809384164	54.21199657149045	43.29222432638585	1286.9518328445743	973.1053384582535	777.0954266586259	160.54292965685138	97.00482121870904	57.32268599133443	3년	54.21199657149045	973.1053384582535	97.00482121870905	3.8489286790769506	3.527238118046219	3.326329267311085	8.987924325774856	1.819602004991491	3년	3.527238118046219	안심	3년	22.855998285745226	1.1890067510834037	보통	Y		7453000000.0	22.443669647011767	21.73452294925431		-8.877081274929555	446.59179931640625	431.0472993469238	Y	Y	강한 상승추세	
GS	GOLDMAN SACHS GROUP INC	0000886982	Dow 30	제외	PEG=보통, PEGY=불리(<1)	1036.530029296875	51.32	2025	1.93	164259000000.0		164259000000.0	236027000000.0	69709000000.0	124972000000.0	1684348000000.0	6.907125328852828	93.09287467114717	0.07419606874588862	-225.9697732997481	-445.4565491183879	24.600541749739342	28.877369026018375	26.591021213616184	19.517790861873507	15.71173099479697	61.68204242723237	47.535581723747015	39.92346198959394	3165.522417365565	2439.526054062697	2048.872069305961	205.39611278921478	135.3550775289682	97.6664458718869	3년	47.535581723747015	2439.526054062697	135.3550775289682	1.1593655742934352	0.8718422171373832	0.7171277435377574	-148.6712846347607	-14.343171971159496	3년	0.8718422171373832	불리(<1)	3년	19.517790861873507	1.2604163003813404	보통	N	주당순현금<=0 | FCF<=0	317600000.0	0.43798214052948037	24.312497131462575		-10.02889775610879	1044.0418017578124	949.3820013427735	N	Y	상승전환	단기위험부채 존재
