티커	종목명	CIK	유니버스	종합판정	종합판정사유	현재가	EPS(FY)	EPS기준연도	배당수익률(%)	현금및현금성자산	유가증권성자산	현금성자산합계	장기부채	단기위험부채	주주지분	총부채	주주지분비중	부채비중	주주대부채배수	주당순현금(린치식)	주당순현금(보수형)	순현금차감PER(린치식)	순현금차감PER(보수형)	연간이익증가율(1년,%)	연간이익증가율(3년CAGR,%)	연간이익증가율(5년CAGR,%)	그레이엄적정PER(1년)	그레이엄적정PER(3년)	그레이엄적정PER(5년)	그레이엄내재가치(1년)	그레이엄내재가치(3년)	그레이엄내재가치(5년)	그레이엄괴리율(1년,%)	그레이엄괴리율(3년,%)	그레이엄괴리율(5년,%)	그레이엄사용기준	그레이엄적정PER(선택)	그레이엄내재가치(선택)	그레이엄괴리율(선택,%)	배당감안점수(1년)	배당감안점수(3년)	배당감안점수(5년)	주당잉여현금흐름	잉여현금흐름수익률(%)	배당감안점수기준	배당감안점수	배당감안점수판정	사용연성장률기준	사용연성장률(%)	린치PER배수	린치PER판정	하드필터통과	하드필터사유	발행주식수	3M수익률(보조,%)	6M수익률(보조,%)	12M수익률(보조,%)	52주고점대비(보조,%)	50일이평(보조)	200일이평(보조)	50일선상회(보조)	200일선상회(보조)	추세판정(보조)	비고
BKNG	Booking Holdings Inc.	0001075531	Nasdaq 100	매우 유망	PEG=매우 유망, PEGY=안심	180.3000030517578	165.57	2025	87.0	17203000000.0	0.0	17203000000.0	16856000000.0	1880000000.0	-5578000000.0	34842000000.0	-19.060962274466924	119.06096227446692	-0.1600941392572183	10.631453169521125	-46.96835074604002	1.024754181809728	1.3726421078564828	-4.1229949620707655	29.43673092572357	158.29965811243966	0.2540100758584689	67.37346185144713	325.0993162248793	42.05644825988669	11155.024078744102	53826.693787353266	-76.67418327895771	6086.923954483731	29753.961661831756	3년	67.37346185144713	11155.024078744102	6086.923954483731	80.87501032839647	113.62406027960277	239.3741469580905	278.4092649897362	154.41445384214146	3년	113.62406027960276	안심	3년	29.436730925723566	0.0348120918859993	매우 유망	Y		32639000.0	9.945726576168479	3.1046916350510934		-19.15856813853878	194.22699981689453	185.78327415466308	N	N	중립/개선	단기위험부채 존재
CMCSA	COMCAST CORP	0001166691	Nasdaq 100	매우 유망	PEG=매우 유망, PEGY=안심	26.329999923706055	5.39	2025	4.98	9481000000.0	14000000.0	9495000000.0		2781000000.0	96903000000.0					2.559989215421947	1.8101914262604475	4.410020539570335	4.549129591362822	30.193236714975846	64.538600212299	49.1602769351271	68.88647342995169	137.577200424598	106.8205538702542	371.2980917874396	741.5411102885832	575.7627853606701	1310.1712603999806	2716.3354061423343	2086.7177631181294	3년	137.577200424598	741.5411102885832	2716.3354061423343	7.9757534912530685	15.763781503628131	12.27664960952811	5.9026691830682125	22.418037220553806	3년	15.763781503628133	안심	3년	64.538600212299	0.0683315182706724	매우 유망	Y		3709000000.0	10.398320765492164	-15.255873246460872		-18.934728156424196	24.90720001220703	26.91808572769165	Y	N	중립/개선	단기위험부채 존재
DASH	DoorDash, Inc.	0001792789	Nasdaq 100	보류	PEG=매우 유망, PEGY=판정불가	200.44000244140625	2.13	2025		4378000000.0	1128000000.0	5506000000.0			10033000000.0	9613000000.0	51.0689198819098	48.9310801180902	1.0436908353271612	12.52257292704339	12.52257292704339	88.22414531190745	88.22414531190745	634.4827586206897			1277.4655172413793			2721.0015517241377			1257.5142279892739			1년	1277.4655172413793	2721.0015517241377	1257.5142279892739				4.944437621393449	2.466791838539732	판정불가		판정불가	1년	634.4827586206897	0.1390489246763758	매우 유망	Y		439686000.0	28.759558552748878	17.954458353821458		-28.856389086028077	203.97780090332031	188.42930015563965	N	Y	상승전환	
MCHP	MICROCHIP TECHNOLOGY INC	0000827054	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	73.37999725341797	0.22	2026	2.45	240300000.0	0.0	240300000.0	5496400000.0	0.0	6432400000.0					-9.64068231841526	-9.64068231841526	377.36672532651465	377.36672532651465	2300.0	-62.033647476478926	-29.795234328396646	4608.5	-115.56729495295785	-51.09046865679329	1013.87	-25.424804889650726	-11.239903104494525	1281.670806689455	-134.648140966599	-115.31739373834738	1년	4608.5	1013.87	1281.670806689455	6.101359355432879	-0.15789322024861752	-0.07246328966799158	1.5975788701393985	2.1771312754648333	1년	6.101359355432879	안심	1년	2300.0	0.1640724892723976	매우 유망	N	주당순현금<=0	545200000.0	-19.776980131045086	12.322049895514775		-28.70190579195	79.57260009765625	77.49195014953614	N	N	판정불가	
MRVL	Marvell Technology, Inc.	0001835632	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	225.41000366210938	3.07	2026	11.0	2638800000.0		2638800000.0	3970800000.0	499800000.0	14308400000.0	7976900000.0	64.20555253911772	35.79444746088228	1.7937293936240895	-1.5315626077957916	-2.106243532252501	73.92233428987139	74.10952677340778	400.98039215686276			810.4607843137255			2488.114607843137			1003.8172962247195			1년	810.4607843137255	2488.114607843137	1003.8172962247195	5.5731518236608375			1.6056111302748075	0.712306953635308	1년	5.5731518236608375	안심	1년	400.98039215686276	0.1843539877155716	매우 유망	N	주당순현금<=0	869700000.0	-15.538819117945035	141.59699495086198		-28.764652883878895	219.8381997680664	152.50300018310546	Y	Y	강한 상승추세	단기위험부채 존재
PYPL	PayPal Holdings, Inc.	0001633917	Nasdaq 100	매우 유망	PEG=매우 유망, PEGY=안심	53.18000030517578	5.41	2025	1.02	8049000000.0	2373000000.0	10422000000.0	9987000000.0		20256000000.0	59917000000.0	25.26536365110449	74.7346363488955	0.3380676602633643	0.4493801652892562	0.4493801652892562	9.746879877982721	9.746879877982721	35.58897243107769	37.30414865193261	32.59424256515169	79.67794486215539	83.10829730386523	73.68848513030338	431.05768170426063	449.6158884139109	398.6547045549413	710.5635186735936	745.4604848322118	649.6327609387808	3년	83.10829730386523	449.6158884139109	745.4604848322118	3.755968360067092	3.9319401830839467	3.4487182550677664	5.74793388429752	10.808450265725362	3년	3.931940183083946	안심	3년	37.304148651932614	0.2612813917542054	매우 유망	Y		968000000.0	28.268213891718162	18.125277131144337		-30.145800310286774	55.201300048828124	50.98305009841919	N	Y	상승전환	
APP	AppLovin Corp	0001751008	Nasdaq 100	제외	PEG=매우 유망, PEGY=판정불가	312.010009765625	9.75	2025		2487096000.0		2487096000.0	3512987000.0	0.0	2134671000.0	5124939000.0	29.404761412803165	70.59523858719683	0.41652612840855274	-2.9999444395707227	-2.9999444395707227	32.30871325181494	32.30871325181494	115.23178807947019			238.96357615894038			2329.8948675496686			646.7372182385539			1년	238.96357615894038	2329.8948675496686	646.7372182385539				11.598438459513993	3.7173289626914476	판정불가		판정불가	1년	115.23178807947019	0.280380212702532	매우 유망	N	주당순현금<=0	341970000.0	-40.094847999805005	-34.64253541302129		-57.46864501782216	390.28539978027345	484.97187591552733	N	N	주의	
NXPI	NXP Semiconductors N.V.	0001413447	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	223.8699951171875	7.95	2025	1.78	3267000000.0		3267000000.0	10972000000.0	307000000.0	10056000000.0					-30.295166534948553	-31.502254935497444	31.970460585174344	32.122295604111315	-18.293936279547793	-9.000664080454257	113.31378642177046	-28.087872559095587	-9.501328160908514	235.12757284354092	-223.29858684480993	-75.53555887922269	1869.2642041061504	-199.74475888469178	-133.74081410047054	734.9775516489653	5년	235.12757284354092	1869.2642041061504	734.9775516489653	-0.5165373278108416	-0.22585424007944052	3.6000040135531512	9.526955031042224	4.255574770551642	5년	3.6000040135531512	안심	5년	113.31378642177046	0.2821409609081071	매우 유망	N	주당순현금<=0	254331000.0	-24.72681067865876	10.264491190065295		-32.70508729942424	249.2104000854492	243.87480003356933	N	N	판정불가	단기위험부채 존재
WDC	WESTERN DIGITAL CORP	0000106040	Nasdaq 100	매우 유망	PEG=매우 유망, PEGY=안심	477.29998779296875	24.28	2026	13.0	1579000000.0	24000000.0	1603000000.0	0.0	255000000.0	8864000000.0	4997000000.0	63.94921001370753	36.05078998629247	1.7738643185911547	4.185378590078329	3.519582245430809	19.485774678866985	19.513196274610294	3137.3333333333335		55.622865998828615	6283.166666666667		119.74573199765723	152555.28666666668		2907.4263729031177	31862.139234924576		509.1402571257195	5년	119.74573199765723	2907.4263729031177	509.1402571257195	161.67349696134903		3.521690419280715	9.167101827676241	1.92061639684192	5년	3.521690419280715	안심	5년	55.622865998828615	0.3503195013230232	매우 유망	Y		383000000.0	-7.8073061109195985	79.28780166944517		-36.03848675536339	504.79599853515623	374.4367987060547	N	Y	중립/개선	단기위험부채 존재
EXC	EXELON CORP	0001109357	Nasdaq 100	제외	PEG=매우 유망, PEGY=안심	43.95000076293945	1.74	2021	3.85	626000000.0		626000000.0	35272000000.0	612000000.0	28798000000.0	87772000000.0	24.704469417517373	75.29553058248263	0.32810007747345393	-34.23517786561265	-34.8399209486166	44.93401070606443	45.281564202043704	-13.432835820895514	121.5523810846817	51.225599028568624	-18.365671641791028	251.6047621693634	110.95119805713725	-31.95626865671639	437.7922861746923	193.0550846194188	-172.71050762680144	896.1143994879241	339.26070823236756	3년	251.6047621693634	437.7922861746923	896.1143994879241	-0.21326464453799995	2.790812106780333	1.2256996017748192	-2.2480237154150196	-5.11495717040044	3년	2.790812106780333	안심	3년	121.5523810846817	0.3696678773800435	매우 유망	N	주당순현금<=0 | FCF<=0	1012000000.0	-3.0443437290351594	-10.324418959162806		-12.60688016935465	45.71779998779297	45.92525001525879	N	N	주의	단기위험부채 존재
